series_id,obs_date,value
WHO_SDG:SDGPM25.NER.RESIDENCEAREATYPE_RUR.A,2010-01-01,40.677295005
WHO_SDG:SDGPM25.NER.RESIDENCEAREATYPE_RUR.A,2011-01-01,43.114465764
WHO_SDG:SDGPM25.NER.RESIDENCEAREATYPE_RUR.A,2012-01-01,41.773020092
WHO_SDG:SDGPM25.NER.RESIDENCEAREATYPE_RUR.A,2013-01-01,38.893286605
WHO_SDG:SDGPM25.NER.RESIDENCEAREATYPE_RUR.A,2014-01-01,39.868371219
WHO_SDG:SDGPM25.NER.RESIDENCEAREATYPE_RUR.A,2015-01-01,48.907839566
WHO_SDG:SDGPM25.NER.RESIDENCEAREATYPE_RUR.A,2016-01-01,47.76912132
WHO_SDG:SDGPM25.NER.RESIDENCEAREATYPE_RUR.A,2017-01-01,45.8026449
WHO_SDG:SDGPM25.NER.RESIDENCEAREATYPE_RUR.A,2018-01-01,43.405830492
WHO_SDG:SDGPM25.NER.RESIDENCEAREATYPE_RUR.A,2019-01-01,41.594489052
WHO_SDG:SDGPM25.NER.RESIDENCEAREATYPE_RUR.A,2020-01-01,45.040682646
WHO_SDG:SDGPM25.NER.RESIDENCEAREATYPE_RUR.A,2021-01-01,45.1360431
WHO_SDG:SDGPM25.NER.RESIDENCEAREATYPE_RUR.A,2022-01-01,48.74536508
WHO_SDG:SDGPM25.NER.RESIDENCEAREATYPE_RUR.A,2023-01-01,45.065367826
