series_id,obs_date,value
WHO_SDG:SDGPM25.NGA.RESIDENCEAREATYPE_TOTL.A,2010-01-01,44.680341541
WHO_SDG:SDGPM25.NGA.RESIDENCEAREATYPE_TOTL.A,2011-01-01,47.894548974
WHO_SDG:SDGPM25.NGA.RESIDENCEAREATYPE_TOTL.A,2012-01-01,48.328285856
WHO_SDG:SDGPM25.NGA.RESIDENCEAREATYPE_TOTL.A,2013-01-01,44.251837276
WHO_SDG:SDGPM25.NGA.RESIDENCEAREATYPE_TOTL.A,2014-01-01,45.340536266
WHO_SDG:SDGPM25.NGA.RESIDENCEAREATYPE_TOTL.A,2015-01-01,56.193688861
WHO_SDG:SDGPM25.NGA.RESIDENCEAREATYPE_TOTL.A,2016-01-01,54.184775374
WHO_SDG:SDGPM25.NGA.RESIDENCEAREATYPE_TOTL.A,2017-01-01,53.087412608
WHO_SDG:SDGPM25.NGA.RESIDENCEAREATYPE_TOTL.A,2018-01-01,50.882072101
WHO_SDG:SDGPM25.NGA.RESIDENCEAREATYPE_TOTL.A,2019-01-01,47.473527749
WHO_SDG:SDGPM25.NGA.RESIDENCEAREATYPE_TOTL.A,2020-01-01,53.297894996
WHO_SDG:SDGPM25.NGA.RESIDENCEAREATYPE_TOTL.A,2021-01-01,53.491415436
WHO_SDG:SDGPM25.NGA.RESIDENCEAREATYPE_TOTL.A,2022-01-01,54.64115321
WHO_SDG:SDGPM25.NGA.RESIDENCEAREATYPE_TOTL.A,2023-01-01,54.326615171
