series_id,obs_date,value
WHO_SDG:SDGPM25.NLD.RESIDENCEAREATYPE_TOTL.A,2010-01-01,14.268303202
WHO_SDG:SDGPM25.NLD.RESIDENCEAREATYPE_TOTL.A,2011-01-01,15.186743087
WHO_SDG:SDGPM25.NLD.RESIDENCEAREATYPE_TOTL.A,2012-01-01,13.255299959
WHO_SDG:SDGPM25.NLD.RESIDENCEAREATYPE_TOTL.A,2013-01-01,12.816306841
WHO_SDG:SDGPM25.NLD.RESIDENCEAREATYPE_TOTL.A,2014-01-01,12.334648514
WHO_SDG:SDGPM25.NLD.RESIDENCEAREATYPE_TOTL.A,2015-01-01,12.154356679
WHO_SDG:SDGPM25.NLD.RESIDENCEAREATYPE_TOTL.A,2016-01-01,11.181690228
WHO_SDG:SDGPM25.NLD.RESIDENCEAREATYPE_TOTL.A,2017-01-01,11.132672089
WHO_SDG:SDGPM25.NLD.RESIDENCEAREATYPE_TOTL.A,2018-01-01,11.125016998
WHO_SDG:SDGPM25.NLD.RESIDENCEAREATYPE_TOTL.A,2019-01-01,10.387289319
WHO_SDG:SDGPM25.NLD.RESIDENCEAREATYPE_TOTL.A,2020-01-01,9.379674025
WHO_SDG:SDGPM25.NLD.RESIDENCEAREATYPE_TOTL.A,2021-01-01,9.461999729
WHO_SDG:SDGPM25.NLD.RESIDENCEAREATYPE_TOTL.A,2022-01-01,9.645526114
WHO_SDG:SDGPM25.NLD.RESIDENCEAREATYPE_TOTL.A,2023-01-01,9.032186883
