series_id,obs_date,value
WHO_SDG:SDGPM25.OMN.RESIDENCEAREATYPE_URB.A,2010-01-01,29.880186847
WHO_SDG:SDGPM25.OMN.RESIDENCEAREATYPE_URB.A,2011-01-01,30.31409958
WHO_SDG:SDGPM25.OMN.RESIDENCEAREATYPE_URB.A,2012-01-01,32.40867025
WHO_SDG:SDGPM25.OMN.RESIDENCEAREATYPE_URB.A,2013-01-01,30.094053586
WHO_SDG:SDGPM25.OMN.RESIDENCEAREATYPE_URB.A,2014-01-01,29.067395613
WHO_SDG:SDGPM25.OMN.RESIDENCEAREATYPE_URB.A,2015-01-01,31.100650796
WHO_SDG:SDGPM25.OMN.RESIDENCEAREATYPE_URB.A,2016-01-01,29.829214185
WHO_SDG:SDGPM25.OMN.RESIDENCEAREATYPE_URB.A,2017-01-01,30.457400316
WHO_SDG:SDGPM25.OMN.RESIDENCEAREATYPE_URB.A,2018-01-01,32.262004482
WHO_SDG:SDGPM25.OMN.RESIDENCEAREATYPE_URB.A,2019-01-01,29.870561824
WHO_SDG:SDGPM25.OMN.RESIDENCEAREATYPE_URB.A,2020-01-01,27.656608864
WHO_SDG:SDGPM25.OMN.RESIDENCEAREATYPE_URB.A,2021-01-01,30.150788779
WHO_SDG:SDGPM25.OMN.RESIDENCEAREATYPE_URB.A,2022-01-01,30.980733195
WHO_SDG:SDGPM25.OMN.RESIDENCEAREATYPE_URB.A,2023-01-01,30.419934853
