series_id,obs_date,value
WHO_SDG:SDGPM25.PER.RESIDENCEAREATYPE_RUR.A,2010-01-01,14.347010031
WHO_SDG:SDGPM25.PER.RESIDENCEAREATYPE_RUR.A,2011-01-01,13.96672458
WHO_SDG:SDGPM25.PER.RESIDENCEAREATYPE_RUR.A,2012-01-01,14.772836508
WHO_SDG:SDGPM25.PER.RESIDENCEAREATYPE_RUR.A,2013-01-01,14.404953144
WHO_SDG:SDGPM25.PER.RESIDENCEAREATYPE_RUR.A,2014-01-01,12.801346476
WHO_SDG:SDGPM25.PER.RESIDENCEAREATYPE_RUR.A,2015-01-01,12.644338834
WHO_SDG:SDGPM25.PER.RESIDENCEAREATYPE_RUR.A,2016-01-01,13.550080896
WHO_SDG:SDGPM25.PER.RESIDENCEAREATYPE_RUR.A,2017-01-01,13.503399661
WHO_SDG:SDGPM25.PER.RESIDENCEAREATYPE_RUR.A,2018-01-01,14.102191237
WHO_SDG:SDGPM25.PER.RESIDENCEAREATYPE_RUR.A,2019-01-01,12.916715663
WHO_SDG:SDGPM25.PER.RESIDENCEAREATYPE_RUR.A,2020-01-01,11.92054108
WHO_SDG:SDGPM25.PER.RESIDENCEAREATYPE_RUR.A,2021-01-01,12.188232937
WHO_SDG:SDGPM25.PER.RESIDENCEAREATYPE_RUR.A,2022-01-01,12.855220887
WHO_SDG:SDGPM25.PER.RESIDENCEAREATYPE_RUR.A,2023-01-01,10.497580609
