series_id,obs_date,value
WHO_SDG:SDGPM25.PRK.RESIDENCEAREATYPE_URB.A,2010-01-01,47.461924645
WHO_SDG:SDGPM25.PRK.RESIDENCEAREATYPE_URB.A,2011-01-01,48.257996046
WHO_SDG:SDGPM25.PRK.RESIDENCEAREATYPE_URB.A,2012-01-01,45.150933207
WHO_SDG:SDGPM25.PRK.RESIDENCEAREATYPE_URB.A,2013-01-01,50.019533211
WHO_SDG:SDGPM25.PRK.RESIDENCEAREATYPE_URB.A,2014-01-01,45.200819238
WHO_SDG:SDGPM25.PRK.RESIDENCEAREATYPE_URB.A,2015-01-01,41.164923464
WHO_SDG:SDGPM25.PRK.RESIDENCEAREATYPE_URB.A,2016-01-01,37.369203887
WHO_SDG:SDGPM25.PRK.RESIDENCEAREATYPE_URB.A,2017-01-01,36.272448601
WHO_SDG:SDGPM25.PRK.RESIDENCEAREATYPE_URB.A,2018-01-01,31.025994735
WHO_SDG:SDGPM25.PRK.RESIDENCEAREATYPE_URB.A,2019-01-01,29.510064672
WHO_SDG:SDGPM25.PRK.RESIDENCEAREATYPE_URB.A,2020-01-01,26.570801554
WHO_SDG:SDGPM25.PRK.RESIDENCEAREATYPE_URB.A,2021-01-01,25.68602766
WHO_SDG:SDGPM25.PRK.RESIDENCEAREATYPE_URB.A,2022-01-01,23.775461335
WHO_SDG:SDGPM25.PRK.RESIDENCEAREATYPE_URB.A,2023-01-01,24.949431997
