series_id,obs_date,value
WHO_SDG:SDGPM25.QAT.RESIDENCEAREATYPE_TOTL.A,2010-01-01,58.416958289
WHO_SDG:SDGPM25.QAT.RESIDENCEAREATYPE_TOTL.A,2011-01-01,60.33776065
WHO_SDG:SDGPM25.QAT.RESIDENCEAREATYPE_TOTL.A,2012-01-01,60.934426003
WHO_SDG:SDGPM25.QAT.RESIDENCEAREATYPE_TOTL.A,2013-01-01,57.441812055
WHO_SDG:SDGPM25.QAT.RESIDENCEAREATYPE_TOTL.A,2014-01-01,53.22768761
WHO_SDG:SDGPM25.QAT.RESIDENCEAREATYPE_TOTL.A,2015-01-01,62.766708679
WHO_SDG:SDGPM25.QAT.RESIDENCEAREATYPE_TOTL.A,2016-01-01,56.776958697
WHO_SDG:SDGPM25.QAT.RESIDENCEAREATYPE_TOTL.A,2017-01-01,58.70536968
WHO_SDG:SDGPM25.QAT.RESIDENCEAREATYPE_TOTL.A,2018-01-01,60.30359736
WHO_SDG:SDGPM25.QAT.RESIDENCEAREATYPE_TOTL.A,2019-01-01,56.909314166
WHO_SDG:SDGPM25.QAT.RESIDENCEAREATYPE_TOTL.A,2020-01-01,54.267248134
WHO_SDG:SDGPM25.QAT.RESIDENCEAREATYPE_TOTL.A,2021-01-01,57.709700603
WHO_SDG:SDGPM25.QAT.RESIDENCEAREATYPE_TOTL.A,2022-01-01,61.777167102
WHO_SDG:SDGPM25.QAT.RESIDENCEAREATYPE_TOTL.A,2023-01-01,58.090614712
