series_id,obs_date,value
WHO_SDG:SDGPM25.WB_HI.RESIDENCEAREATYPE_CITY.A,2010-01-01,14.114633209
WHO_SDG:SDGPM25.WB_HI.RESIDENCEAREATYPE_CITY.A,2011-01-01,13.906638947
WHO_SDG:SDGPM25.WB_HI.RESIDENCEAREATYPE_CITY.A,2012-01-01,12.804992167
WHO_SDG:SDGPM25.WB_HI.RESIDENCEAREATYPE_CITY.A,2013-01-01,12.845401772
WHO_SDG:SDGPM25.WB_HI.RESIDENCEAREATYPE_CITY.A,2014-01-01,12.385707163
WHO_SDG:SDGPM25.WB_HI.RESIDENCEAREATYPE_CITY.A,2015-01-01,12.056007838
WHO_SDG:SDGPM25.WB_HI.RESIDENCEAREATYPE_CITY.A,2016-01-01,11.187252119
WHO_SDG:SDGPM25.WB_HI.RESIDENCEAREATYPE_CITY.A,2017-01-01,11.131071605
WHO_SDG:SDGPM25.WB_HI.RESIDENCEAREATYPE_CITY.A,2018-01-01,11.158209124
WHO_SDG:SDGPM25.WB_HI.RESIDENCEAREATYPE_CITY.A,2019-01-01,10.383673307
WHO_SDG:SDGPM25.WB_HI.RESIDENCEAREATYPE_CITY.A,2020-01-01,9.750019894
WHO_SDG:SDGPM25.WB_HI.RESIDENCEAREATYPE_CITY.A,2021-01-01,9.696365926
WHO_SDG:SDGPM25.WB_HI.RESIDENCEAREATYPE_CITY.A,2022-01-01,9.624245788
WHO_SDG:SDGPM25.WB_HI.RESIDENCEAREATYPE_CITY.A,2023-01-01,9.825704477
