series_id,obs_date,value
WHO_SDG:SDGPM25.WPR.RESIDENCEAREATYPE_RUR.A,2010-01-01,33.809433862
WHO_SDG:SDGPM25.WPR.RESIDENCEAREATYPE_RUR.A,2011-01-01,33.333675108
WHO_SDG:SDGPM25.WPR.RESIDENCEAREATYPE_RUR.A,2012-01-01,32.364222767
WHO_SDG:SDGPM25.WPR.RESIDENCEAREATYPE_RUR.A,2013-01-01,34.724591359
WHO_SDG:SDGPM25.WPR.RESIDENCEAREATYPE_RUR.A,2014-01-01,30.368252784
WHO_SDG:SDGPM25.WPR.RESIDENCEAREATYPE_RUR.A,2015-01-01,28.836197137
WHO_SDG:SDGPM25.WPR.RESIDENCEAREATYPE_RUR.A,2016-01-01,26.069453868
WHO_SDG:SDGPM25.WPR.RESIDENCEAREATYPE_RUR.A,2017-01-01,25.094768565
WHO_SDG:SDGPM25.WPR.RESIDENCEAREATYPE_RUR.A,2018-01-01,22.596009535
WHO_SDG:SDGPM25.WPR.RESIDENCEAREATYPE_RUR.A,2019-01-01,22.266927975
WHO_SDG:SDGPM25.WPR.RESIDENCEAREATYPE_RUR.A,2020-01-01,18.813356186
WHO_SDG:SDGPM25.WPR.RESIDENCEAREATYPE_RUR.A,2021-01-01,18.40833228
WHO_SDG:SDGPM25.WPR.RESIDENCEAREATYPE_RUR.A,2022-01-01,16.992165703
WHO_SDG:SDGPM25.WPR.RESIDENCEAREATYPE_RUR.A,2023-01-01,18.940734143
