series_id,obs_date,value
WHO_SDG:SDGPOISON.DNK.SEX_MLE.A,2000-01-01,0.333473515
WHO_SDG:SDGPOISON.DNK.SEX_MLE.A,2001-01-01,0.367877895
WHO_SDG:SDGPOISON.DNK.SEX_MLE.A,2002-01-01,0.196234937
WHO_SDG:SDGPOISON.DNK.SEX_MLE.A,2003-01-01,0.401731406
WHO_SDG:SDGPOISON.DNK.SEX_MLE.A,2004-01-01,0.355312427
WHO_SDG:SDGPOISON.DNK.SEX_MLE.A,2005-01-01,0.342515287
WHO_SDG:SDGPOISON.DNK.SEX_MLE.A,2006-01-01,0.240753882
WHO_SDG:SDGPOISON.DNK.SEX_MLE.A,2007-01-01,0.369384506
WHO_SDG:SDGPOISON.DNK.SEX_MLE.A,2008-01-01,0.165943431
WHO_SDG:SDGPOISON.DNK.SEX_MLE.A,2009-01-01,0.357084093
WHO_SDG:SDGPOISON.DNK.SEX_MLE.A,2010-01-01,0.242833746
WHO_SDG:SDGPOISON.DNK.SEX_MLE.A,2011-01-01,0.541278274
WHO_SDG:SDGPOISON.DNK.SEX_MLE.A,2012-01-01,0.331490976
WHO_SDG:SDGPOISON.DNK.SEX_MLE.A,2013-01-01,0.185020596
WHO_SDG:SDGPOISON.DNK.SEX_MLE.A,2014-01-01,0.218091073
WHO_SDG:SDGPOISON.DNK.SEX_MLE.A,2015-01-01,0.330442267
WHO_SDG:SDGPOISON.DNK.SEX_MLE.A,2016-01-01,0.214420339
WHO_SDG:SDGPOISON.DNK.SEX_MLE.A,2017-01-01,0.09259543
WHO_SDG:SDGPOISON.DNK.SEX_MLE.A,2018-01-01,0.210441438
WHO_SDG:SDGPOISON.DNK.SEX_MLE.A,2019-01-01,0.249557475
WHO_SDG:SDGPOISON.DNK.SEX_MLE.A,2020-01-01,0.106047049
WHO_SDG:SDGPOISON.DNK.SEX_MLE.A,2021-01-01,0.000467226
