series_id,obs_date,value
WHO_SDG:SDGPOISON.MLI.SEX_BTSX.A,2000-01-01,1.212165563
WHO_SDG:SDGPOISON.MLI.SEX_BTSX.A,2001-01-01,1.284950069
WHO_SDG:SDGPOISON.MLI.SEX_BTSX.A,2002-01-01,1.267690733
WHO_SDG:SDGPOISON.MLI.SEX_BTSX.A,2003-01-01,1.342348295
WHO_SDG:SDGPOISON.MLI.SEX_BTSX.A,2004-01-01,1.372491543
WHO_SDG:SDGPOISON.MLI.SEX_BTSX.A,2005-01-01,1.410216502
WHO_SDG:SDGPOISON.MLI.SEX_BTSX.A,2006-01-01,1.40444112
WHO_SDG:SDGPOISON.MLI.SEX_BTSX.A,2007-01-01,1.310006184
WHO_SDG:SDGPOISON.MLI.SEX_BTSX.A,2008-01-01,1.503175302
WHO_SDG:SDGPOISON.MLI.SEX_BTSX.A,2009-01-01,1.361549408
WHO_SDG:SDGPOISON.MLI.SEX_BTSX.A,2010-01-01,1.365447373
WHO_SDG:SDGPOISON.MLI.SEX_BTSX.A,2011-01-01,1.361117169
WHO_SDG:SDGPOISON.MLI.SEX_BTSX.A,2012-01-01,1.456952526
WHO_SDG:SDGPOISON.MLI.SEX_BTSX.A,2013-01-01,1.413783455
WHO_SDG:SDGPOISON.MLI.SEX_BTSX.A,2014-01-01,1.431782162
WHO_SDG:SDGPOISON.MLI.SEX_BTSX.A,2015-01-01,1.342907149
WHO_SDG:SDGPOISON.MLI.SEX_BTSX.A,2016-01-01,1.385692784
WHO_SDG:SDGPOISON.MLI.SEX_BTSX.A,2017-01-01,1.343078601
WHO_SDG:SDGPOISON.MLI.SEX_BTSX.A,2018-01-01,1.258075676
WHO_SDG:SDGPOISON.MLI.SEX_BTSX.A,2019-01-01,1.239389413
WHO_SDG:SDGPOISON.MLI.SEX_BTSX.A,2020-01-01,1.178432374
WHO_SDG:SDGPOISON.MLI.SEX_BTSX.A,2021-01-01,1.237259443
