series_id,obs_date,value
WHO_SDG:SDGPOISON.OMN.SEX_BTSX.A,2000-01-01,0.117115187
WHO_SDG:SDGPOISON.OMN.SEX_BTSX.A,2001-01-01,0.112283128
WHO_SDG:SDGPOISON.OMN.SEX_BTSX.A,2002-01-01,0.101422559
WHO_SDG:SDGPOISON.OMN.SEX_BTSX.A,2003-01-01,0.099503722
WHO_SDG:SDGPOISON.OMN.SEX_BTSX.A,2004-01-01,0.094976986
WHO_SDG:SDGPOISON.OMN.SEX_BTSX.A,2005-01-01,0.092090354
WHO_SDG:SDGPOISON.OMN.SEX_BTSX.A,2006-01-01,0.093292684
WHO_SDG:SDGPOISON.OMN.SEX_BTSX.A,2007-01-01,0.087360372
WHO_SDG:SDGPOISON.OMN.SEX_BTSX.A,2008-01-01,0.080395797
WHO_SDG:SDGPOISON.OMN.SEX_BTSX.A,2009-01-01,0.052366049
WHO_SDG:SDGPOISON.OMN.SEX_BTSX.A,2010-01-01,0.081140611
WHO_SDG:SDGPOISON.OMN.SEX_BTSX.A,2011-01-01,0.0808665
WHO_SDG:SDGPOISON.OMN.SEX_BTSX.A,2012-01-01,0.080098956
WHO_SDG:SDGPOISON.OMN.SEX_BTSX.A,2013-01-01,0.073444477
WHO_SDG:SDGPOISON.OMN.SEX_BTSX.A,2014-01-01,0.073821005
WHO_SDG:SDGPOISON.OMN.SEX_BTSX.A,2015-01-01,0.060744676
WHO_SDG:SDGPOISON.OMN.SEX_BTSX.A,2016-01-01,0.060946471
WHO_SDG:SDGPOISON.OMN.SEX_BTSX.A,2017-01-01,0.064577636
WHO_SDG:SDGPOISON.OMN.SEX_BTSX.A,2018-01-01,0.06832497
WHO_SDG:SDGPOISON.OMN.SEX_BTSX.A,2019-01-01,0.066881077
WHO_SDG:SDGPOISON.OMN.SEX_BTSX.A,2020-01-01,0.045959393
WHO_SDG:SDGPOISON.OMN.SEX_BTSX.A,2021-01-01,0.036502927
