series_id,obs_date,value
WHO_SDG:SDGPOISON.POL.SEX_MLE.A,2000-01-01,1.737465172
WHO_SDG:SDGPOISON.POL.SEX_MLE.A,2001-01-01,1.724347567
WHO_SDG:SDGPOISON.POL.SEX_MLE.A,2002-01-01,1.670980247
WHO_SDG:SDGPOISON.POL.SEX_MLE.A,2003-01-01,1.841503598
WHO_SDG:SDGPOISON.POL.SEX_MLE.A,2004-01-01,1.687136223
WHO_SDG:SDGPOISON.POL.SEX_MLE.A,2005-01-01,1.813029409
WHO_SDG:SDGPOISON.POL.SEX_MLE.A,2006-01-01,1.821959323
WHO_SDG:SDGPOISON.POL.SEX_MLE.A,2007-01-01,1.359962811
WHO_SDG:SDGPOISON.POL.SEX_MLE.A,2008-01-01,1.374957582
WHO_SDG:SDGPOISON.POL.SEX_MLE.A,2009-01-01,1.336631877
WHO_SDG:SDGPOISON.POL.SEX_MLE.A,2010-01-01,1.341407599
WHO_SDG:SDGPOISON.POL.SEX_MLE.A,2011-01-01,0.987241916
WHO_SDG:SDGPOISON.POL.SEX_MLE.A,2012-01-01,1.004217575
WHO_SDG:SDGPOISON.POL.SEX_MLE.A,2013-01-01,0.879055569
WHO_SDG:SDGPOISON.POL.SEX_MLE.A,2014-01-01,0.802072459
WHO_SDG:SDGPOISON.POL.SEX_MLE.A,2015-01-01,0.626388937
WHO_SDG:SDGPOISON.POL.SEX_MLE.A,2016-01-01,0.726959492
WHO_SDG:SDGPOISON.POL.SEX_MLE.A,2017-01-01,0.769259898
WHO_SDG:SDGPOISON.POL.SEX_MLE.A,2018-01-01,1.308290737
WHO_SDG:SDGPOISON.POL.SEX_MLE.A,2019-01-01,1.840270671
WHO_SDG:SDGPOISON.POL.SEX_MLE.A,2020-01-01,2.476089965
WHO_SDG:SDGPOISON.POL.SEX_MLE.A,2021-01-01,2.009930229
