series_id,obs_date,value
WHO_SDG:SDGSUICIDE.AGO.SEX_BTSX.AGEGROUP_YEARSALL.A,2000-01-01,9.115151343
WHO_SDG:SDGSUICIDE.AGO.SEX_BTSX.AGEGROUP_YEARSALL.A,2001-01-01,8.479533056
WHO_SDG:SDGSUICIDE.AGO.SEX_BTSX.AGEGROUP_YEARSALL.A,2002-01-01,8.231687887
WHO_SDG:SDGSUICIDE.AGO.SEX_BTSX.AGEGROUP_YEARSALL.A,2003-01-01,8.883604778
WHO_SDG:SDGSUICIDE.AGO.SEX_BTSX.AGEGROUP_YEARSALL.A,2004-01-01,8.918944572
WHO_SDG:SDGSUICIDE.AGO.SEX_BTSX.AGEGROUP_YEARSALL.A,2005-01-01,8.323016865
WHO_SDG:SDGSUICIDE.AGO.SEX_BTSX.AGEGROUP_YEARSALL.A,2006-01-01,8.589735793
WHO_SDG:SDGSUICIDE.AGO.SEX_BTSX.AGEGROUP_YEARSALL.A,2007-01-01,7.995881208
WHO_SDG:SDGSUICIDE.AGO.SEX_BTSX.AGEGROUP_YEARSALL.A,2008-01-01,7.50080515
WHO_SDG:SDGSUICIDE.AGO.SEX_BTSX.AGEGROUP_YEARSALL.A,2009-01-01,7.242138391
WHO_SDG:SDGSUICIDE.AGO.SEX_BTSX.AGEGROUP_YEARSALL.A,2010-01-01,6.894683985
WHO_SDG:SDGSUICIDE.AGO.SEX_BTSX.AGEGROUP_YEARSALL.A,2011-01-01,6.95112289
WHO_SDG:SDGSUICIDE.AGO.SEX_BTSX.AGEGROUP_YEARSALL.A,2012-01-01,6.790332671
WHO_SDG:SDGSUICIDE.AGO.SEX_BTSX.AGEGROUP_YEARSALL.A,2013-01-01,6.879892153
WHO_SDG:SDGSUICIDE.AGO.SEX_BTSX.AGEGROUP_YEARSALL.A,2014-01-01,6.360267988
WHO_SDG:SDGSUICIDE.AGO.SEX_BTSX.AGEGROUP_YEARSALL.A,2015-01-01,6.555816204
WHO_SDG:SDGSUICIDE.AGO.SEX_BTSX.AGEGROUP_YEARSALL.A,2016-01-01,6.485858197
WHO_SDG:SDGSUICIDE.AGO.SEX_BTSX.AGEGROUP_YEARSALL.A,2017-01-01,6.469301847
WHO_SDG:SDGSUICIDE.AGO.SEX_BTSX.AGEGROUP_YEARSALL.A,2018-01-01,7.151158021
WHO_SDG:SDGSUICIDE.AGO.SEX_BTSX.AGEGROUP_YEARSALL.A,2019-01-01,7.520455308
WHO_SDG:SDGSUICIDE.AGO.SEX_BTSX.AGEGROUP_YEARSALL.A,2020-01-01,7.409206153
WHO_SDG:SDGSUICIDE.AGO.SEX_BTSX.AGEGROUP_YEARSALL.A,2021-01-01,8.113778244
