series_id,obs_date,value
WHO_SDG:SDGSUICIDE.COL.SEX_MLE.AGEGROUP_YEARSALL.A,2000-01-01,7.553570549
WHO_SDG:SDGSUICIDE.COL.SEX_MLE.AGEGROUP_YEARSALL.A,2001-01-01,7.494755241
WHO_SDG:SDGSUICIDE.COL.SEX_MLE.AGEGROUP_YEARSALL.A,2002-01-01,7.071584296
WHO_SDG:SDGSUICIDE.COL.SEX_MLE.AGEGROUP_YEARSALL.A,2003-01-01,6.694343106
WHO_SDG:SDGSUICIDE.COL.SEX_MLE.AGEGROUP_YEARSALL.A,2004-01-01,6.914254848
WHO_SDG:SDGSUICIDE.COL.SEX_MLE.AGEGROUP_YEARSALL.A,2005-01-01,6.458681057
WHO_SDG:SDGSUICIDE.COL.SEX_MLE.AGEGROUP_YEARSALL.A,2006-01-01,6.535453244
WHO_SDG:SDGSUICIDE.COL.SEX_MLE.AGEGROUP_YEARSALL.A,2007-01-01,6.51882423
WHO_SDG:SDGSUICIDE.COL.SEX_MLE.AGEGROUP_YEARSALL.A,2008-01-01,6.610621458
WHO_SDG:SDGSUICIDE.COL.SEX_MLE.AGEGROUP_YEARSALL.A,2009-01-01,6.432491005
WHO_SDG:SDGSUICIDE.COL.SEX_MLE.AGEGROUP_YEARSALL.A,2010-01-01,6.264308202
WHO_SDG:SDGSUICIDE.COL.SEX_MLE.AGEGROUP_YEARSALL.A,2011-01-01,5.995844329
WHO_SDG:SDGSUICIDE.COL.SEX_MLE.AGEGROUP_YEARSALL.A,2012-01-01,6.126346428
WHO_SDG:SDGSUICIDE.COL.SEX_MLE.AGEGROUP_YEARSALL.A,2013-01-01,5.927626283
WHO_SDG:SDGSUICIDE.COL.SEX_MLE.AGEGROUP_YEARSALL.A,2014-01-01,6.180629973
WHO_SDG:SDGSUICIDE.COL.SEX_MLE.AGEGROUP_YEARSALL.A,2015-01-01,6.41173063
WHO_SDG:SDGSUICIDE.COL.SEX_MLE.AGEGROUP_YEARSALL.A,2016-01-01,6.994888729
WHO_SDG:SDGSUICIDE.COL.SEX_MLE.AGEGROUP_YEARSALL.A,2017-01-01,7.405056377
WHO_SDG:SDGSUICIDE.COL.SEX_MLE.AGEGROUP_YEARSALL.A,2018-01-01,8.1136408
WHO_SDG:SDGSUICIDE.COL.SEX_MLE.AGEGROUP_YEARSALL.A,2019-01-01,7.954820996
WHO_SDG:SDGSUICIDE.COL.SEX_MLE.AGEGROUP_YEARSALL.A,2020-01-01,7.549576242
WHO_SDG:SDGSUICIDE.COL.SEX_MLE.AGEGROUP_YEARSALL.A,2021-01-01,7.90915864
