series_id,obs_date,value
WHO_SDG:SDGSUICIDE.GNQ.SEX_FMLE.AGEGROUP_YEARSALL.A,2000-01-01,4.155600927
WHO_SDG:SDGSUICIDE.GNQ.SEX_FMLE.AGEGROUP_YEARSALL.A,2001-01-01,3.890177077
WHO_SDG:SDGSUICIDE.GNQ.SEX_FMLE.AGEGROUP_YEARSALL.A,2002-01-01,3.816766067
WHO_SDG:SDGSUICIDE.GNQ.SEX_FMLE.AGEGROUP_YEARSALL.A,2003-01-01,4.04716438
WHO_SDG:SDGSUICIDE.GNQ.SEX_FMLE.AGEGROUP_YEARSALL.A,2004-01-01,3.943616009
WHO_SDG:SDGSUICIDE.GNQ.SEX_FMLE.AGEGROUP_YEARSALL.A,2005-01-01,3.917817298
WHO_SDG:SDGSUICIDE.GNQ.SEX_FMLE.AGEGROUP_YEARSALL.A,2006-01-01,3.819077126
WHO_SDG:SDGSUICIDE.GNQ.SEX_FMLE.AGEGROUP_YEARSALL.A,2007-01-01,3.704313988
WHO_SDG:SDGSUICIDE.GNQ.SEX_FMLE.AGEGROUP_YEARSALL.A,2008-01-01,3.395758201
WHO_SDG:SDGSUICIDE.GNQ.SEX_FMLE.AGEGROUP_YEARSALL.A,2009-01-01,3.460063165
WHO_SDG:SDGSUICIDE.GNQ.SEX_FMLE.AGEGROUP_YEARSALL.A,2010-01-01,3.796995238
WHO_SDG:SDGSUICIDE.GNQ.SEX_FMLE.AGEGROUP_YEARSALL.A,2011-01-01,4.012769947
WHO_SDG:SDGSUICIDE.GNQ.SEX_FMLE.AGEGROUP_YEARSALL.A,2012-01-01,3.783092491
WHO_SDG:SDGSUICIDE.GNQ.SEX_FMLE.AGEGROUP_YEARSALL.A,2013-01-01,2.88688705
WHO_SDG:SDGSUICIDE.GNQ.SEX_FMLE.AGEGROUP_YEARSALL.A,2014-01-01,2.809241174
WHO_SDG:SDGSUICIDE.GNQ.SEX_FMLE.AGEGROUP_YEARSALL.A,2015-01-01,3.61264815
WHO_SDG:SDGSUICIDE.GNQ.SEX_FMLE.AGEGROUP_YEARSALL.A,2016-01-01,3.856452848
WHO_SDG:SDGSUICIDE.GNQ.SEX_FMLE.AGEGROUP_YEARSALL.A,2017-01-01,3.876319171
WHO_SDG:SDGSUICIDE.GNQ.SEX_FMLE.AGEGROUP_YEARSALL.A,2018-01-01,4.123849606
WHO_SDG:SDGSUICIDE.GNQ.SEX_FMLE.AGEGROUP_YEARSALL.A,2019-01-01,4.292801926
WHO_SDG:SDGSUICIDE.GNQ.SEX_FMLE.AGEGROUP_YEARSALL.A,2020-01-01,3.686169828
WHO_SDG:SDGSUICIDE.GNQ.SEX_FMLE.AGEGROUP_YEARSALL.A,2021-01-01,3.486109076
