series_id,obs_date,value
WHO_SDG:SDGSUICIDE.LKA.SEX_FMLE.AGEGROUP_YEARSALL.A,2000-01-01,15.0474096
WHO_SDG:SDGSUICIDE.LKA.SEX_FMLE.AGEGROUP_YEARSALL.A,2001-01-01,12.53245089
WHO_SDG:SDGSUICIDE.LKA.SEX_FMLE.AGEGROUP_YEARSALL.A,2002-01-01,11.62499338
WHO_SDG:SDGSUICIDE.LKA.SEX_FMLE.AGEGROUP_YEARSALL.A,2003-01-01,11.17393559
WHO_SDG:SDGSUICIDE.LKA.SEX_FMLE.AGEGROUP_YEARSALL.A,2004-01-01,10.16349432
WHO_SDG:SDGSUICIDE.LKA.SEX_FMLE.AGEGROUP_YEARSALL.A,2005-01-01,9.699853542
WHO_SDG:SDGSUICIDE.LKA.SEX_FMLE.AGEGROUP_YEARSALL.A,2006-01-01,9.012785078
WHO_SDG:SDGSUICIDE.LKA.SEX_FMLE.AGEGROUP_YEARSALL.A,2007-01-01,8.291734869
WHO_SDG:SDGSUICIDE.LKA.SEX_FMLE.AGEGROUP_YEARSALL.A,2008-01-01,7.82721607
WHO_SDG:SDGSUICIDE.LKA.SEX_FMLE.AGEGROUP_YEARSALL.A,2009-01-01,8.094703345
WHO_SDG:SDGSUICIDE.LKA.SEX_FMLE.AGEGROUP_YEARSALL.A,2010-01-01,7.580598313
WHO_SDG:SDGSUICIDE.LKA.SEX_FMLE.AGEGROUP_YEARSALL.A,2011-01-01,7.75562965
WHO_SDG:SDGSUICIDE.LKA.SEX_FMLE.AGEGROUP_YEARSALL.A,2012-01-01,7.14120555
WHO_SDG:SDGSUICIDE.LKA.SEX_FMLE.AGEGROUP_YEARSALL.A,2013-01-01,6.677305892
WHO_SDG:SDGSUICIDE.LKA.SEX_FMLE.AGEGROUP_YEARSALL.A,2014-01-01,6.290969909
WHO_SDG:SDGSUICIDE.LKA.SEX_FMLE.AGEGROUP_YEARSALL.A,2015-01-01,6.14414156
WHO_SDG:SDGSUICIDE.LKA.SEX_FMLE.AGEGROUP_YEARSALL.A,2016-01-01,6.300176211
WHO_SDG:SDGSUICIDE.LKA.SEX_FMLE.AGEGROUP_YEARSALL.A,2017-01-01,6.278717168
WHO_SDG:SDGSUICIDE.LKA.SEX_FMLE.AGEGROUP_YEARSALL.A,2018-01-01,6.309187639
WHO_SDG:SDGSUICIDE.LKA.SEX_FMLE.AGEGROUP_YEARSALL.A,2019-01-01,6.441684149
WHO_SDG:SDGSUICIDE.LKA.SEX_FMLE.AGEGROUP_YEARSALL.A,2020-01-01,5.129384337
WHO_SDG:SDGSUICIDE.LKA.SEX_FMLE.AGEGROUP_YEARSALL.A,2021-01-01,5.85287863
