series_id,obs_date,value
WHO_SDG:SDGSUICIDE.POL.SEX_BTSX.AGEGROUP_YEARSALL.A,2000-01-01,17.0259463
WHO_SDG:SDGSUICIDE.POL.SEX_BTSX.AGEGROUP_YEARSALL.A,2001-01-01,17.24147091
WHO_SDG:SDGSUICIDE.POL.SEX_BTSX.AGEGROUP_YEARSALL.A,2002-01-01,17.38251868
WHO_SDG:SDGSUICIDE.POL.SEX_BTSX.AGEGROUP_YEARSALL.A,2003-01-01,17.09533077
WHO_SDG:SDGSUICIDE.POL.SEX_BTSX.AGEGROUP_YEARSALL.A,2004-01-01,17.66738951
WHO_SDG:SDGSUICIDE.POL.SEX_BTSX.AGEGROUP_YEARSALL.A,2005-01-01,17.7985272
WHO_SDG:SDGSUICIDE.POL.SEX_BTSX.AGEGROUP_YEARSALL.A,2006-01-01,17.1636076
WHO_SDG:SDGSUICIDE.POL.SEX_BTSX.AGEGROUP_YEARSALL.A,2007-01-01,15.77164588
WHO_SDG:SDGSUICIDE.POL.SEX_BTSX.AGEGROUP_YEARSALL.A,2008-01-01,17.11567314
WHO_SDG:SDGSUICIDE.POL.SEX_BTSX.AGEGROUP_YEARSALL.A,2009-01-01,19.23083211
WHO_SDG:SDGSUICIDE.POL.SEX_BTSX.AGEGROUP_YEARSALL.A,2010-01-01,18.65997904
WHO_SDG:SDGSUICIDE.POL.SEX_BTSX.AGEGROUP_YEARSALL.A,2011-01-01,18.07940672
WHO_SDG:SDGSUICIDE.POL.SEX_BTSX.AGEGROUP_YEARSALL.A,2012-01-01,18.5715974
WHO_SDG:SDGSUICIDE.POL.SEX_BTSX.AGEGROUP_YEARSALL.A,2013-01-01,18.24517512
WHO_SDG:SDGSUICIDE.POL.SEX_BTSX.AGEGROUP_YEARSALL.A,2014-01-01,17.37236809
WHO_SDG:SDGSUICIDE.POL.SEX_BTSX.AGEGROUP_YEARSALL.A,2015-01-01,15.84590137
WHO_SDG:SDGSUICIDE.POL.SEX_BTSX.AGEGROUP_YEARSALL.A,2016-01-01,13.81247684
WHO_SDG:SDGSUICIDE.POL.SEX_BTSX.AGEGROUP_YEARSALL.A,2017-01-01,13.25212951
WHO_SDG:SDGSUICIDE.POL.SEX_BTSX.AGEGROUP_YEARSALL.A,2018-01-01,13.47300406
WHO_SDG:SDGSUICIDE.POL.SEX_BTSX.AGEGROUP_YEARSALL.A,2019-01-01,13.70162866
WHO_SDG:SDGSUICIDE.POL.SEX_BTSX.AGEGROUP_YEARSALL.A,2020-01-01,13.8754845
WHO_SDG:SDGSUICIDE.POL.SEX_BTSX.AGEGROUP_YEARSALL.A,2021-01-01,13.66797343
