series_id,obs_date,value
WHO_SDG:SDGSUICIDE.SLE.SEX_FMLE.AGEGROUP_YEARSALL.A,2000-01-01,2.861239773
WHO_SDG:SDGSUICIDE.SLE.SEX_FMLE.AGEGROUP_YEARSALL.A,2001-01-01,3.055613072
WHO_SDG:SDGSUICIDE.SLE.SEX_FMLE.AGEGROUP_YEARSALL.A,2002-01-01,3.185450587
WHO_SDG:SDGSUICIDE.SLE.SEX_FMLE.AGEGROUP_YEARSALL.A,2003-01-01,3.335173595
WHO_SDG:SDGSUICIDE.SLE.SEX_FMLE.AGEGROUP_YEARSALL.A,2004-01-01,3.501810595
WHO_SDG:SDGSUICIDE.SLE.SEX_FMLE.AGEGROUP_YEARSALL.A,2005-01-01,3.583476349
WHO_SDG:SDGSUICIDE.SLE.SEX_FMLE.AGEGROUP_YEARSALL.A,2006-01-01,3.577187544
WHO_SDG:SDGSUICIDE.SLE.SEX_FMLE.AGEGROUP_YEARSALL.A,2007-01-01,3.820305178
WHO_SDG:SDGSUICIDE.SLE.SEX_FMLE.AGEGROUP_YEARSALL.A,2008-01-01,3.987679572
WHO_SDG:SDGSUICIDE.SLE.SEX_FMLE.AGEGROUP_YEARSALL.A,2009-01-01,4.080007831
WHO_SDG:SDGSUICIDE.SLE.SEX_FMLE.AGEGROUP_YEARSALL.A,2010-01-01,4.209329553
WHO_SDG:SDGSUICIDE.SLE.SEX_FMLE.AGEGROUP_YEARSALL.A,2011-01-01,4.212031319
WHO_SDG:SDGSUICIDE.SLE.SEX_FMLE.AGEGROUP_YEARSALL.A,2012-01-01,4.245493369
WHO_SDG:SDGSUICIDE.SLE.SEX_FMLE.AGEGROUP_YEARSALL.A,2013-01-01,4.13520382
WHO_SDG:SDGSUICIDE.SLE.SEX_FMLE.AGEGROUP_YEARSALL.A,2014-01-01,3.84936893
WHO_SDG:SDGSUICIDE.SLE.SEX_FMLE.AGEGROUP_YEARSALL.A,2015-01-01,3.978522809
WHO_SDG:SDGSUICIDE.SLE.SEX_FMLE.AGEGROUP_YEARSALL.A,2016-01-01,4.359722036
WHO_SDG:SDGSUICIDE.SLE.SEX_FMLE.AGEGROUP_YEARSALL.A,2017-01-01,4.446861431
WHO_SDG:SDGSUICIDE.SLE.SEX_FMLE.AGEGROUP_YEARSALL.A,2018-01-01,4.507661732
WHO_SDG:SDGSUICIDE.SLE.SEX_FMLE.AGEGROUP_YEARSALL.A,2019-01-01,4.506327995
WHO_SDG:SDGSUICIDE.SLE.SEX_FMLE.AGEGROUP_YEARSALL.A,2020-01-01,4.088161806
WHO_SDG:SDGSUICIDE.SLE.SEX_FMLE.AGEGROUP_YEARSALL.A,2021-01-01,4.482866844
