series_id,obs_date,value
WHO_SDG:SDGSUICIDE.TGO.SEX_BTSX.AGEGROUP_YEARSALL.A,2000-01-01,8.326283433
WHO_SDG:SDGSUICIDE.TGO.SEX_BTSX.AGEGROUP_YEARSALL.A,2001-01-01,8.500096951
WHO_SDG:SDGSUICIDE.TGO.SEX_BTSX.AGEGROUP_YEARSALL.A,2002-01-01,8.659276429
WHO_SDG:SDGSUICIDE.TGO.SEX_BTSX.AGEGROUP_YEARSALL.A,2003-01-01,8.837047277
WHO_SDG:SDGSUICIDE.TGO.SEX_BTSX.AGEGROUP_YEARSALL.A,2004-01-01,8.783160922
WHO_SDG:SDGSUICIDE.TGO.SEX_BTSX.AGEGROUP_YEARSALL.A,2005-01-01,8.93964913
WHO_SDG:SDGSUICIDE.TGO.SEX_BTSX.AGEGROUP_YEARSALL.A,2006-01-01,9.027020898
WHO_SDG:SDGSUICIDE.TGO.SEX_BTSX.AGEGROUP_YEARSALL.A,2007-01-01,8.994648159
WHO_SDG:SDGSUICIDE.TGO.SEX_BTSX.AGEGROUP_YEARSALL.A,2008-01-01,9.333045314
WHO_SDG:SDGSUICIDE.TGO.SEX_BTSX.AGEGROUP_YEARSALL.A,2009-01-01,9.539024256
WHO_SDG:SDGSUICIDE.TGO.SEX_BTSX.AGEGROUP_YEARSALL.A,2010-01-01,9.633335819
WHO_SDG:SDGSUICIDE.TGO.SEX_BTSX.AGEGROUP_YEARSALL.A,2011-01-01,9.692053335
WHO_SDG:SDGSUICIDE.TGO.SEX_BTSX.AGEGROUP_YEARSALL.A,2012-01-01,9.683631776
WHO_SDG:SDGSUICIDE.TGO.SEX_BTSX.AGEGROUP_YEARSALL.A,2013-01-01,9.717233829
WHO_SDG:SDGSUICIDE.TGO.SEX_BTSX.AGEGROUP_YEARSALL.A,2014-01-01,9.779632491
WHO_SDG:SDGSUICIDE.TGO.SEX_BTSX.AGEGROUP_YEARSALL.A,2015-01-01,9.807462309
WHO_SDG:SDGSUICIDE.TGO.SEX_BTSX.AGEGROUP_YEARSALL.A,2016-01-01,9.975137249
WHO_SDG:SDGSUICIDE.TGO.SEX_BTSX.AGEGROUP_YEARSALL.A,2017-01-01,9.842979242
WHO_SDG:SDGSUICIDE.TGO.SEX_BTSX.AGEGROUP_YEARSALL.A,2018-01-01,9.804542482
WHO_SDG:SDGSUICIDE.TGO.SEX_BTSX.AGEGROUP_YEARSALL.A,2019-01-01,9.771209601
WHO_SDG:SDGSUICIDE.TGO.SEX_BTSX.AGEGROUP_YEARSALL.A,2020-01-01,9.378612324
WHO_SDG:SDGSUICIDE.TGO.SEX_BTSX.AGEGROUP_YEARSALL.A,2021-01-01,9.340400499
