series_id,obs_date,value
WHO_SDG:SDG_SH_DTH_RNCOM.ARG.SEX_FMLE.GHECAUSES_GHE061.A,2000-01-01,25951.58
WHO_SDG:SDG_SH_DTH_RNCOM.ARG.SEX_FMLE.GHECAUSES_GHE061.A,2001-01-01,26334.04
WHO_SDG:SDG_SH_DTH_RNCOM.ARG.SEX_FMLE.GHECAUSES_GHE061.A,2002-01-01,26318.12
WHO_SDG:SDG_SH_DTH_RNCOM.ARG.SEX_FMLE.GHECAUSES_GHE061.A,2003-01-01,27446.01
WHO_SDG:SDG_SH_DTH_RNCOM.ARG.SEX_FMLE.GHECAUSES_GHE061.A,2004-01-01,27351.61
WHO_SDG:SDG_SH_DTH_RNCOM.ARG.SEX_FMLE.GHECAUSES_GHE061.A,2005-01-01,28009.21
WHO_SDG:SDG_SH_DTH_RNCOM.ARG.SEX_FMLE.GHECAUSES_GHE061.A,2006-01-01,28140.63
WHO_SDG:SDG_SH_DTH_RNCOM.ARG.SEX_FMLE.GHECAUSES_GHE061.A,2007-01-01,28642.16
WHO_SDG:SDG_SH_DTH_RNCOM.ARG.SEX_FMLE.GHECAUSES_GHE061.A,2008-01-01,28529.97
WHO_SDG:SDG_SH_DTH_RNCOM.ARG.SEX_FMLE.GHECAUSES_GHE061.A,2009-01-01,29360.47
WHO_SDG:SDG_SH_DTH_RNCOM.ARG.SEX_FMLE.GHECAUSES_GHE061.A,2010-01-01,29648.01
WHO_SDG:SDG_SH_DTH_RNCOM.ARG.SEX_FMLE.GHECAUSES_GHE061.A,2011-01-01,29552.65
WHO_SDG:SDG_SH_DTH_RNCOM.ARG.SEX_FMLE.GHECAUSES_GHE061.A,2012-01-01,30361.34
WHO_SDG:SDG_SH_DTH_RNCOM.ARG.SEX_FMLE.GHECAUSES_GHE061.A,2013-01-01,30893.11
WHO_SDG:SDG_SH_DTH_RNCOM.ARG.SEX_FMLE.GHECAUSES_GHE061.A,2014-01-01,31112.64
WHO_SDG:SDG_SH_DTH_RNCOM.ARG.SEX_FMLE.GHECAUSES_GHE061.A,2015-01-01,31481.68
WHO_SDG:SDG_SH_DTH_RNCOM.ARG.SEX_FMLE.GHECAUSES_GHE061.A,2016-01-01,31880.0
WHO_SDG:SDG_SH_DTH_RNCOM.ARG.SEX_FMLE.GHECAUSES_GHE061.A,2017-01-01,32073.9
WHO_SDG:SDG_SH_DTH_RNCOM.ARG.SEX_FMLE.GHECAUSES_GHE061.A,2018-01-01,31045.49
WHO_SDG:SDG_SH_DTH_RNCOM.ARG.SEX_FMLE.GHECAUSES_GHE061.A,2019-01-01,31758.89
