series_id,obs_date,value
WHO_SDG:SDG_SH_DTH_RNCOM.AZE.SEX_BTSX.GHECAUSES_GHE080.A,2000-01-01,1621.619
WHO_SDG:SDG_SH_DTH_RNCOM.AZE.SEX_BTSX.GHECAUSES_GHE080.A,2001-01-01,1682.326
WHO_SDG:SDG_SH_DTH_RNCOM.AZE.SEX_BTSX.GHECAUSES_GHE080.A,2002-01-01,1768.02
WHO_SDG:SDG_SH_DTH_RNCOM.AZE.SEX_BTSX.GHECAUSES_GHE080.A,2003-01-01,1858.715
WHO_SDG:SDG_SH_DTH_RNCOM.AZE.SEX_BTSX.GHECAUSES_GHE080.A,2004-01-01,1950.242
WHO_SDG:SDG_SH_DTH_RNCOM.AZE.SEX_BTSX.GHECAUSES_GHE080.A,2005-01-01,2015.434
WHO_SDG:SDG_SH_DTH_RNCOM.AZE.SEX_BTSX.GHECAUSES_GHE080.A,2006-01-01,2057.9
WHO_SDG:SDG_SH_DTH_RNCOM.AZE.SEX_BTSX.GHECAUSES_GHE080.A,2007-01-01,2089.576
WHO_SDG:SDG_SH_DTH_RNCOM.AZE.SEX_BTSX.GHECAUSES_GHE080.A,2008-01-01,2161.742
WHO_SDG:SDG_SH_DTH_RNCOM.AZE.SEX_BTSX.GHECAUSES_GHE080.A,2009-01-01,2220.483
WHO_SDG:SDG_SH_DTH_RNCOM.AZE.SEX_BTSX.GHECAUSES_GHE080.A,2010-01-01,2270.61
WHO_SDG:SDG_SH_DTH_RNCOM.AZE.SEX_BTSX.GHECAUSES_GHE080.A,2011-01-01,2332.783
WHO_SDG:SDG_SH_DTH_RNCOM.AZE.SEX_BTSX.GHECAUSES_GHE080.A,2012-01-01,2407.124
WHO_SDG:SDG_SH_DTH_RNCOM.AZE.SEX_BTSX.GHECAUSES_GHE080.A,2013-01-01,2468.699
WHO_SDG:SDG_SH_DTH_RNCOM.AZE.SEX_BTSX.GHECAUSES_GHE080.A,2014-01-01,2554.525
WHO_SDG:SDG_SH_DTH_RNCOM.AZE.SEX_BTSX.GHECAUSES_GHE080.A,2015-01-01,2631.297
WHO_SDG:SDG_SH_DTH_RNCOM.AZE.SEX_BTSX.GHECAUSES_GHE080.A,2016-01-01,2732.553
WHO_SDG:SDG_SH_DTH_RNCOM.AZE.SEX_BTSX.GHECAUSES_GHE080.A,2017-01-01,2838.459
WHO_SDG:SDG_SH_DTH_RNCOM.AZE.SEX_BTSX.GHECAUSES_GHE080.A,2018-01-01,2864.699
WHO_SDG:SDG_SH_DTH_RNCOM.AZE.SEX_BTSX.GHECAUSES_GHE080.A,2019-01-01,2941.689
