series_id,obs_date,value
WHO_SDG:SDG_SH_DTH_RNCOM.BOL.SEX_MLE.GHECAUSES_GHE117.A,2000-01-01,1463.032
WHO_SDG:SDG_SH_DTH_RNCOM.BOL.SEX_MLE.GHECAUSES_GHE117.A,2001-01-01,1500.218
WHO_SDG:SDG_SH_DTH_RNCOM.BOL.SEX_MLE.GHECAUSES_GHE117.A,2002-01-01,1530.422
WHO_SDG:SDG_SH_DTH_RNCOM.BOL.SEX_MLE.GHECAUSES_GHE117.A,2003-01-01,1561.453
WHO_SDG:SDG_SH_DTH_RNCOM.BOL.SEX_MLE.GHECAUSES_GHE117.A,2004-01-01,1575.568
WHO_SDG:SDG_SH_DTH_RNCOM.BOL.SEX_MLE.GHECAUSES_GHE117.A,2005-01-01,1594.086
WHO_SDG:SDG_SH_DTH_RNCOM.BOL.SEX_MLE.GHECAUSES_GHE117.A,2006-01-01,1630.14
WHO_SDG:SDG_SH_DTH_RNCOM.BOL.SEX_MLE.GHECAUSES_GHE117.A,2007-01-01,1689.335
WHO_SDG:SDG_SH_DTH_RNCOM.BOL.SEX_MLE.GHECAUSES_GHE117.A,2008-01-01,1735.211
WHO_SDG:SDG_SH_DTH_RNCOM.BOL.SEX_MLE.GHECAUSES_GHE117.A,2009-01-01,1788.468
WHO_SDG:SDG_SH_DTH_RNCOM.BOL.SEX_MLE.GHECAUSES_GHE117.A,2010-01-01,1834.163
WHO_SDG:SDG_SH_DTH_RNCOM.BOL.SEX_MLE.GHECAUSES_GHE117.A,2011-01-01,1924.719
WHO_SDG:SDG_SH_DTH_RNCOM.BOL.SEX_MLE.GHECAUSES_GHE117.A,2012-01-01,1988.981
WHO_SDG:SDG_SH_DTH_RNCOM.BOL.SEX_MLE.GHECAUSES_GHE117.A,2013-01-01,2068.186
WHO_SDG:SDG_SH_DTH_RNCOM.BOL.SEX_MLE.GHECAUSES_GHE117.A,2014-01-01,2173.348
WHO_SDG:SDG_SH_DTH_RNCOM.BOL.SEX_MLE.GHECAUSES_GHE117.A,2015-01-01,2240.543
WHO_SDG:SDG_SH_DTH_RNCOM.BOL.SEX_MLE.GHECAUSES_GHE117.A,2016-01-01,2327.844
WHO_SDG:SDG_SH_DTH_RNCOM.BOL.SEX_MLE.GHECAUSES_GHE117.A,2017-01-01,2403.989
WHO_SDG:SDG_SH_DTH_RNCOM.BOL.SEX_MLE.GHECAUSES_GHE117.A,2018-01-01,2497.001
WHO_SDG:SDG_SH_DTH_RNCOM.BOL.SEX_MLE.GHECAUSES_GHE117.A,2019-01-01,2586.059
