series_id,obs_date,value
WHO_SDG:SDG_SH_DTH_RNCOM.BRA.SEX_FMLE.GHECAUSES_GHE061.A,2000-01-01,64760.39
WHO_SDG:SDG_SH_DTH_RNCOM.BRA.SEX_FMLE.GHECAUSES_GHE061.A,2001-01-01,67225.95
WHO_SDG:SDG_SH_DTH_RNCOM.BRA.SEX_FMLE.GHECAUSES_GHE061.A,2002-01-01,68661.27
WHO_SDG:SDG_SH_DTH_RNCOM.BRA.SEX_FMLE.GHECAUSES_GHE061.A,2003-01-01,71086.7
WHO_SDG:SDG_SH_DTH_RNCOM.BRA.SEX_FMLE.GHECAUSES_GHE061.A,2004-01-01,73383.09
WHO_SDG:SDG_SH_DTH_RNCOM.BRA.SEX_FMLE.GHECAUSES_GHE061.A,2005-01-01,74882.94
WHO_SDG:SDG_SH_DTH_RNCOM.BRA.SEX_FMLE.GHECAUSES_GHE061.A,2006-01-01,77144.45
WHO_SDG:SDG_SH_DTH_RNCOM.BRA.SEX_FMLE.GHECAUSES_GHE061.A,2007-01-01,79125.09
WHO_SDG:SDG_SH_DTH_RNCOM.BRA.SEX_FMLE.GHECAUSES_GHE061.A,2008-01-01,81890.88
WHO_SDG:SDG_SH_DTH_RNCOM.BRA.SEX_FMLE.GHECAUSES_GHE061.A,2009-01-01,84093.84
WHO_SDG:SDG_SH_DTH_RNCOM.BRA.SEX_FMLE.GHECAUSES_GHE061.A,2010-01-01,87156.2
WHO_SDG:SDG_SH_DTH_RNCOM.BRA.SEX_FMLE.GHECAUSES_GHE061.A,2011-01-01,90090.97
WHO_SDG:SDG_SH_DTH_RNCOM.BRA.SEX_FMLE.GHECAUSES_GHE061.A,2012-01-01,93545.61
WHO_SDG:SDG_SH_DTH_RNCOM.BRA.SEX_FMLE.GHECAUSES_GHE061.A,2013-01-01,95224.41
WHO_SDG:SDG_SH_DTH_RNCOM.BRA.SEX_FMLE.GHECAUSES_GHE061.A,2014-01-01,98271.31
WHO_SDG:SDG_SH_DTH_RNCOM.BRA.SEX_FMLE.GHECAUSES_GHE061.A,2015-01-01,102242.3
WHO_SDG:SDG_SH_DTH_RNCOM.BRA.SEX_FMLE.GHECAUSES_GHE061.A,2016-01-01,104776.2
WHO_SDG:SDG_SH_DTH_RNCOM.BRA.SEX_FMLE.GHECAUSES_GHE061.A,2017-01-01,108608.6
WHO_SDG:SDG_SH_DTH_RNCOM.BRA.SEX_FMLE.GHECAUSES_GHE061.A,2018-01-01,114235.9
WHO_SDG:SDG_SH_DTH_RNCOM.BRA.SEX_FMLE.GHECAUSES_GHE061.A,2019-01-01,116309.0
