series_id,obs_date,value
WHO_SDG:SDG_SH_DTH_RNCOM.CAF.SEX_FMLE.GHECAUSES_GHE061.A,2000-01-01,1025.46
WHO_SDG:SDG_SH_DTH_RNCOM.CAF.SEX_FMLE.GHECAUSES_GHE061.A,2001-01-01,1037.134
WHO_SDG:SDG_SH_DTH_RNCOM.CAF.SEX_FMLE.GHECAUSES_GHE061.A,2002-01-01,1057.984
WHO_SDG:SDG_SH_DTH_RNCOM.CAF.SEX_FMLE.GHECAUSES_GHE061.A,2003-01-01,1077.791
WHO_SDG:SDG_SH_DTH_RNCOM.CAF.SEX_FMLE.GHECAUSES_GHE061.A,2004-01-01,1087.315
WHO_SDG:SDG_SH_DTH_RNCOM.CAF.SEX_FMLE.GHECAUSES_GHE061.A,2005-01-01,1092.728
WHO_SDG:SDG_SH_DTH_RNCOM.CAF.SEX_FMLE.GHECAUSES_GHE061.A,2006-01-01,1107.379
WHO_SDG:SDG_SH_DTH_RNCOM.CAF.SEX_FMLE.GHECAUSES_GHE061.A,2007-01-01,1112.666
WHO_SDG:SDG_SH_DTH_RNCOM.CAF.SEX_FMLE.GHECAUSES_GHE061.A,2008-01-01,1105.422
WHO_SDG:SDG_SH_DTH_RNCOM.CAF.SEX_FMLE.GHECAUSES_GHE061.A,2009-01-01,1112.884
WHO_SDG:SDG_SH_DTH_RNCOM.CAF.SEX_FMLE.GHECAUSES_GHE061.A,2010-01-01,1128.771
WHO_SDG:SDG_SH_DTH_RNCOM.CAF.SEX_FMLE.GHECAUSES_GHE061.A,2011-01-01,1147.023
WHO_SDG:SDG_SH_DTH_RNCOM.CAF.SEX_FMLE.GHECAUSES_GHE061.A,2012-01-01,1141.204
WHO_SDG:SDG_SH_DTH_RNCOM.CAF.SEX_FMLE.GHECAUSES_GHE061.A,2013-01-01,1140.613
WHO_SDG:SDG_SH_DTH_RNCOM.CAF.SEX_FMLE.GHECAUSES_GHE061.A,2014-01-01,1123.086
WHO_SDG:SDG_SH_DTH_RNCOM.CAF.SEX_FMLE.GHECAUSES_GHE061.A,2015-01-01,1108.727
WHO_SDG:SDG_SH_DTH_RNCOM.CAF.SEX_FMLE.GHECAUSES_GHE061.A,2016-01-01,1109.987
WHO_SDG:SDG_SH_DTH_RNCOM.CAF.SEX_FMLE.GHECAUSES_GHE061.A,2017-01-01,1116.971
WHO_SDG:SDG_SH_DTH_RNCOM.CAF.SEX_FMLE.GHECAUSES_GHE061.A,2018-01-01,1130.135
WHO_SDG:SDG_SH_DTH_RNCOM.CAF.SEX_FMLE.GHECAUSES_GHE061.A,2019-01-01,1147.191
