series_id,obs_date,value
WHO_SDG:SDG_SH_DTH_RNCOM.DZA.SEX_MLE.GHECAUSES_GHE080.A,2000-01-01,1233.27
WHO_SDG:SDG_SH_DTH_RNCOM.DZA.SEX_MLE.GHECAUSES_GHE080.A,2001-01-01,1299.742
WHO_SDG:SDG_SH_DTH_RNCOM.DZA.SEX_MLE.GHECAUSES_GHE080.A,2002-01-01,1359.611
WHO_SDG:SDG_SH_DTH_RNCOM.DZA.SEX_MLE.GHECAUSES_GHE080.A,2003-01-01,1409.565
WHO_SDG:SDG_SH_DTH_RNCOM.DZA.SEX_MLE.GHECAUSES_GHE080.A,2004-01-01,1476.645
WHO_SDG:SDG_SH_DTH_RNCOM.DZA.SEX_MLE.GHECAUSES_GHE080.A,2005-01-01,1535.137
WHO_SDG:SDG_SH_DTH_RNCOM.DZA.SEX_MLE.GHECAUSES_GHE080.A,2006-01-01,1632.251
WHO_SDG:SDG_SH_DTH_RNCOM.DZA.SEX_MLE.GHECAUSES_GHE080.A,2007-01-01,1723.31
WHO_SDG:SDG_SH_DTH_RNCOM.DZA.SEX_MLE.GHECAUSES_GHE080.A,2008-01-01,1813.259
WHO_SDG:SDG_SH_DTH_RNCOM.DZA.SEX_MLE.GHECAUSES_GHE080.A,2009-01-01,1906.501
WHO_SDG:SDG_SH_DTH_RNCOM.DZA.SEX_MLE.GHECAUSES_GHE080.A,2010-01-01,2003.874
WHO_SDG:SDG_SH_DTH_RNCOM.DZA.SEX_MLE.GHECAUSES_GHE080.A,2011-01-01,2113.15
WHO_SDG:SDG_SH_DTH_RNCOM.DZA.SEX_MLE.GHECAUSES_GHE080.A,2012-01-01,2221.737
WHO_SDG:SDG_SH_DTH_RNCOM.DZA.SEX_MLE.GHECAUSES_GHE080.A,2013-01-01,2325.899
WHO_SDG:SDG_SH_DTH_RNCOM.DZA.SEX_MLE.GHECAUSES_GHE080.A,2014-01-01,2435.678
WHO_SDG:SDG_SH_DTH_RNCOM.DZA.SEX_MLE.GHECAUSES_GHE080.A,2015-01-01,2568.968
WHO_SDG:SDG_SH_DTH_RNCOM.DZA.SEX_MLE.GHECAUSES_GHE080.A,2016-01-01,2708.027
WHO_SDG:SDG_SH_DTH_RNCOM.DZA.SEX_MLE.GHECAUSES_GHE080.A,2017-01-01,2839.633
WHO_SDG:SDG_SH_DTH_RNCOM.DZA.SEX_MLE.GHECAUSES_GHE080.A,2018-01-01,2971.567
WHO_SDG:SDG_SH_DTH_RNCOM.DZA.SEX_MLE.GHECAUSES_GHE080.A,2019-01-01,3115.242
