series_id,obs_date,value
WHO_SDG:SDG_SH_DTH_RNCOM.FJI.SEX_MLE.GHECAUSES_GHE117.A,2000-01-01,272.8228
WHO_SDG:SDG_SH_DTH_RNCOM.FJI.SEX_MLE.GHECAUSES_GHE117.A,2001-01-01,277.3635
WHO_SDG:SDG_SH_DTH_RNCOM.FJI.SEX_MLE.GHECAUSES_GHE117.A,2002-01-01,273.5068
WHO_SDG:SDG_SH_DTH_RNCOM.FJI.SEX_MLE.GHECAUSES_GHE117.A,2003-01-01,274.2758
WHO_SDG:SDG_SH_DTH_RNCOM.FJI.SEX_MLE.GHECAUSES_GHE117.A,2004-01-01,256.3637
WHO_SDG:SDG_SH_DTH_RNCOM.FJI.SEX_MLE.GHECAUSES_GHE117.A,2005-01-01,253.9936
WHO_SDG:SDG_SH_DTH_RNCOM.FJI.SEX_MLE.GHECAUSES_GHE117.A,2006-01-01,252.5588
WHO_SDG:SDG_SH_DTH_RNCOM.FJI.SEX_MLE.GHECAUSES_GHE117.A,2007-01-01,251.3695
WHO_SDG:SDG_SH_DTH_RNCOM.FJI.SEX_MLE.GHECAUSES_GHE117.A,2008-01-01,244.2594
WHO_SDG:SDG_SH_DTH_RNCOM.FJI.SEX_MLE.GHECAUSES_GHE117.A,2009-01-01,233.7659
WHO_SDG:SDG_SH_DTH_RNCOM.FJI.SEX_MLE.GHECAUSES_GHE117.A,2010-01-01,233.8988
WHO_SDG:SDG_SH_DTH_RNCOM.FJI.SEX_MLE.GHECAUSES_GHE117.A,2011-01-01,234.5736
WHO_SDG:SDG_SH_DTH_RNCOM.FJI.SEX_MLE.GHECAUSES_GHE117.A,2012-01-01,230.5798
WHO_SDG:SDG_SH_DTH_RNCOM.FJI.SEX_MLE.GHECAUSES_GHE117.A,2013-01-01,232.608
WHO_SDG:SDG_SH_DTH_RNCOM.FJI.SEX_MLE.GHECAUSES_GHE117.A,2014-01-01,230.648
WHO_SDG:SDG_SH_DTH_RNCOM.FJI.SEX_MLE.GHECAUSES_GHE117.A,2015-01-01,225.4286
WHO_SDG:SDG_SH_DTH_RNCOM.FJI.SEX_MLE.GHECAUSES_GHE117.A,2016-01-01,232.163
WHO_SDG:SDG_SH_DTH_RNCOM.FJI.SEX_MLE.GHECAUSES_GHE117.A,2017-01-01,238.5063
WHO_SDG:SDG_SH_DTH_RNCOM.FJI.SEX_MLE.GHECAUSES_GHE117.A,2018-01-01,242.3269
WHO_SDG:SDG_SH_DTH_RNCOM.FJI.SEX_MLE.GHECAUSES_GHE117.A,2019-01-01,245.7317
