series_id,obs_date,value
WHO_SDG:SDG_SH_DTH_RNCOM.GBR.SEX_BTSX.GHECAUSES_GHE080.A,2000-01-01,6558.398
WHO_SDG:SDG_SH_DTH_RNCOM.GBR.SEX_BTSX.GHECAUSES_GHE080.A,2001-01-01,7192.283
WHO_SDG:SDG_SH_DTH_RNCOM.GBR.SEX_BTSX.GHECAUSES_GHE080.A,2002-01-01,7246.262
WHO_SDG:SDG_SH_DTH_RNCOM.GBR.SEX_BTSX.GHECAUSES_GHE080.A,2003-01-01,7449.125
WHO_SDG:SDG_SH_DTH_RNCOM.GBR.SEX_BTSX.GHECAUSES_GHE080.A,2004-01-01,7004.641
WHO_SDG:SDG_SH_DTH_RNCOM.GBR.SEX_BTSX.GHECAUSES_GHE080.A,2005-01-01,6747.001
WHO_SDG:SDG_SH_DTH_RNCOM.GBR.SEX_BTSX.GHECAUSES_GHE080.A,2006-01-01,6593.835
WHO_SDG:SDG_SH_DTH_RNCOM.GBR.SEX_BTSX.GHECAUSES_GHE080.A,2007-01-01,6553.176
WHO_SDG:SDG_SH_DTH_RNCOM.GBR.SEX_BTSX.GHECAUSES_GHE080.A,2008-01-01,6677.123
WHO_SDG:SDG_SH_DTH_RNCOM.GBR.SEX_BTSX.GHECAUSES_GHE080.A,2009-01-01,6352.034
WHO_SDG:SDG_SH_DTH_RNCOM.GBR.SEX_BTSX.GHECAUSES_GHE080.A,2010-01-01,6375.271
WHO_SDG:SDG_SH_DTH_RNCOM.GBR.SEX_BTSX.GHECAUSES_GHE080.A,2011-01-01,6047.626
WHO_SDG:SDG_SH_DTH_RNCOM.GBR.SEX_BTSX.GHECAUSES_GHE080.A,2012-01-01,6177.632
WHO_SDG:SDG_SH_DTH_RNCOM.GBR.SEX_BTSX.GHECAUSES_GHE080.A,2013-01-01,6205.184
WHO_SDG:SDG_SH_DTH_RNCOM.GBR.SEX_BTSX.GHECAUSES_GHE080.A,2014-01-01,6640.822
WHO_SDG:SDG_SH_DTH_RNCOM.GBR.SEX_BTSX.GHECAUSES_GHE080.A,2015-01-01,6904.236
WHO_SDG:SDG_SH_DTH_RNCOM.GBR.SEX_BTSX.GHECAUSES_GHE080.A,2016-01-01,7158.53
WHO_SDG:SDG_SH_DTH_RNCOM.GBR.SEX_BTSX.GHECAUSES_GHE080.A,2017-01-01,7030.031
WHO_SDG:SDG_SH_DTH_RNCOM.GBR.SEX_BTSX.GHECAUSES_GHE080.A,2018-01-01,7122.39
WHO_SDG:SDG_SH_DTH_RNCOM.GBR.SEX_BTSX.GHECAUSES_GHE080.A,2019-01-01,7181.173
