series_id,obs_date,value
WHO_SDG:SDG_SH_DTH_RNCOM.GMB.SEX_BTSX.GHECAUSES_GHE061.A,2000-01-01,335.34
WHO_SDG:SDG_SH_DTH_RNCOM.GMB.SEX_BTSX.GHECAUSES_GHE061.A,2001-01-01,339.4524
WHO_SDG:SDG_SH_DTH_RNCOM.GMB.SEX_BTSX.GHECAUSES_GHE061.A,2002-01-01,350.574
WHO_SDG:SDG_SH_DTH_RNCOM.GMB.SEX_BTSX.GHECAUSES_GHE061.A,2003-01-01,373.6487
WHO_SDG:SDG_SH_DTH_RNCOM.GMB.SEX_BTSX.GHECAUSES_GHE061.A,2004-01-01,414.7641
WHO_SDG:SDG_SH_DTH_RNCOM.GMB.SEX_BTSX.GHECAUSES_GHE061.A,2005-01-01,432.4717
WHO_SDG:SDG_SH_DTH_RNCOM.GMB.SEX_BTSX.GHECAUSES_GHE061.A,2006-01-01,433.0828
WHO_SDG:SDG_SH_DTH_RNCOM.GMB.SEX_BTSX.GHECAUSES_GHE061.A,2007-01-01,448.423
WHO_SDG:SDG_SH_DTH_RNCOM.GMB.SEX_BTSX.GHECAUSES_GHE061.A,2008-01-01,442.5658
WHO_SDG:SDG_SH_DTH_RNCOM.GMB.SEX_BTSX.GHECAUSES_GHE061.A,2009-01-01,464.2148
WHO_SDG:SDG_SH_DTH_RNCOM.GMB.SEX_BTSX.GHECAUSES_GHE061.A,2010-01-01,470.6474
WHO_SDG:SDG_SH_DTH_RNCOM.GMB.SEX_BTSX.GHECAUSES_GHE061.A,2011-01-01,443.0464
WHO_SDG:SDG_SH_DTH_RNCOM.GMB.SEX_BTSX.GHECAUSES_GHE061.A,2012-01-01,460.7673
WHO_SDG:SDG_SH_DTH_RNCOM.GMB.SEX_BTSX.GHECAUSES_GHE061.A,2013-01-01,485.6313
WHO_SDG:SDG_SH_DTH_RNCOM.GMB.SEX_BTSX.GHECAUSES_GHE061.A,2014-01-01,541.8184
WHO_SDG:SDG_SH_DTH_RNCOM.GMB.SEX_BTSX.GHECAUSES_GHE061.A,2015-01-01,533.5853
WHO_SDG:SDG_SH_DTH_RNCOM.GMB.SEX_BTSX.GHECAUSES_GHE061.A,2016-01-01,587.6357
WHO_SDG:SDG_SH_DTH_RNCOM.GMB.SEX_BTSX.GHECAUSES_GHE061.A,2017-01-01,637.4808
WHO_SDG:SDG_SH_DTH_RNCOM.GMB.SEX_BTSX.GHECAUSES_GHE061.A,2018-01-01,655.7652
WHO_SDG:SDG_SH_DTH_RNCOM.GMB.SEX_BTSX.GHECAUSES_GHE061.A,2019-01-01,679.3565
