series_id,obs_date,value
WHO_SDG:SDG_SH_DTH_RNCOM.GMB.SEX_MLE.GHECAUSES_GHE117.A,2000-01-01,142.1468
WHO_SDG:SDG_SH_DTH_RNCOM.GMB.SEX_MLE.GHECAUSES_GHE117.A,2001-01-01,148.1333
WHO_SDG:SDG_SH_DTH_RNCOM.GMB.SEX_MLE.GHECAUSES_GHE117.A,2002-01-01,154.6093
WHO_SDG:SDG_SH_DTH_RNCOM.GMB.SEX_MLE.GHECAUSES_GHE117.A,2003-01-01,159.1994
WHO_SDG:SDG_SH_DTH_RNCOM.GMB.SEX_MLE.GHECAUSES_GHE117.A,2004-01-01,164.538
WHO_SDG:SDG_SH_DTH_RNCOM.GMB.SEX_MLE.GHECAUSES_GHE117.A,2005-01-01,165.8524
WHO_SDG:SDG_SH_DTH_RNCOM.GMB.SEX_MLE.GHECAUSES_GHE117.A,2006-01-01,169.7162
WHO_SDG:SDG_SH_DTH_RNCOM.GMB.SEX_MLE.GHECAUSES_GHE117.A,2007-01-01,173.9804
WHO_SDG:SDG_SH_DTH_RNCOM.GMB.SEX_MLE.GHECAUSES_GHE117.A,2008-01-01,178.9925
WHO_SDG:SDG_SH_DTH_RNCOM.GMB.SEX_MLE.GHECAUSES_GHE117.A,2009-01-01,180.0169
WHO_SDG:SDG_SH_DTH_RNCOM.GMB.SEX_MLE.GHECAUSES_GHE117.A,2010-01-01,181.0923
WHO_SDG:SDG_SH_DTH_RNCOM.GMB.SEX_MLE.GHECAUSES_GHE117.A,2011-01-01,191.2179
WHO_SDG:SDG_SH_DTH_RNCOM.GMB.SEX_MLE.GHECAUSES_GHE117.A,2012-01-01,193.3596
WHO_SDG:SDG_SH_DTH_RNCOM.GMB.SEX_MLE.GHECAUSES_GHE117.A,2013-01-01,195.0372
WHO_SDG:SDG_SH_DTH_RNCOM.GMB.SEX_MLE.GHECAUSES_GHE117.A,2014-01-01,197.097
WHO_SDG:SDG_SH_DTH_RNCOM.GMB.SEX_MLE.GHECAUSES_GHE117.A,2015-01-01,196.3422
WHO_SDG:SDG_SH_DTH_RNCOM.GMB.SEX_MLE.GHECAUSES_GHE117.A,2016-01-01,196.0082
WHO_SDG:SDG_SH_DTH_RNCOM.GMB.SEX_MLE.GHECAUSES_GHE117.A,2017-01-01,198.6348
WHO_SDG:SDG_SH_DTH_RNCOM.GMB.SEX_MLE.GHECAUSES_GHE117.A,2018-01-01,198.4768
WHO_SDG:SDG_SH_DTH_RNCOM.GMB.SEX_MLE.GHECAUSES_GHE117.A,2019-01-01,201.6952
