series_id,obs_date,value
WHO_SDG:SDG_SH_DTH_RNCOM.HTI.SEX_FMLE.GHECAUSES_GHE117.A,2000-01-01,1386.486
WHO_SDG:SDG_SH_DTH_RNCOM.HTI.SEX_FMLE.GHECAUSES_GHE117.A,2001-01-01,1404.726
WHO_SDG:SDG_SH_DTH_RNCOM.HTI.SEX_FMLE.GHECAUSES_GHE117.A,2002-01-01,1421.713
WHO_SDG:SDG_SH_DTH_RNCOM.HTI.SEX_FMLE.GHECAUSES_GHE117.A,2003-01-01,1444.01
WHO_SDG:SDG_SH_DTH_RNCOM.HTI.SEX_FMLE.GHECAUSES_GHE117.A,2004-01-01,1443.679
WHO_SDG:SDG_SH_DTH_RNCOM.HTI.SEX_FMLE.GHECAUSES_GHE117.A,2005-01-01,1489.021
WHO_SDG:SDG_SH_DTH_RNCOM.HTI.SEX_FMLE.GHECAUSES_GHE117.A,2006-01-01,1518.318
WHO_SDG:SDG_SH_DTH_RNCOM.HTI.SEX_FMLE.GHECAUSES_GHE117.A,2007-01-01,1558.496
WHO_SDG:SDG_SH_DTH_RNCOM.HTI.SEX_FMLE.GHECAUSES_GHE117.A,2008-01-01,1575.736
WHO_SDG:SDG_SH_DTH_RNCOM.HTI.SEX_FMLE.GHECAUSES_GHE117.A,2009-01-01,1602.844
WHO_SDG:SDG_SH_DTH_RNCOM.HTI.SEX_FMLE.GHECAUSES_GHE117.A,2010-01-01,1642.795
WHO_SDG:SDG_SH_DTH_RNCOM.HTI.SEX_FMLE.GHECAUSES_GHE117.A,2011-01-01,1611.81
WHO_SDG:SDG_SH_DTH_RNCOM.HTI.SEX_FMLE.GHECAUSES_GHE117.A,2012-01-01,1627.347
WHO_SDG:SDG_SH_DTH_RNCOM.HTI.SEX_FMLE.GHECAUSES_GHE117.A,2013-01-01,1639.191
WHO_SDG:SDG_SH_DTH_RNCOM.HTI.SEX_FMLE.GHECAUSES_GHE117.A,2014-01-01,1656.215
WHO_SDG:SDG_SH_DTH_RNCOM.HTI.SEX_FMLE.GHECAUSES_GHE117.A,2015-01-01,1671.312
WHO_SDG:SDG_SH_DTH_RNCOM.HTI.SEX_FMLE.GHECAUSES_GHE117.A,2016-01-01,1673.211
WHO_SDG:SDG_SH_DTH_RNCOM.HTI.SEX_FMLE.GHECAUSES_GHE117.A,2017-01-01,1681.076
WHO_SDG:SDG_SH_DTH_RNCOM.HTI.SEX_FMLE.GHECAUSES_GHE117.A,2018-01-01,1700.91
WHO_SDG:SDG_SH_DTH_RNCOM.HTI.SEX_FMLE.GHECAUSES_GHE117.A,2019-01-01,1719.033
