series_id,obs_date,value
WHO_SDG:SDG_SH_DTH_RNCOM.HUN.SEX_BTSX.GHECAUSES_GHE117.A,2000-01-01,5032.181
WHO_SDG:SDG_SH_DTH_RNCOM.HUN.SEX_BTSX.GHECAUSES_GHE117.A,2001-01-01,4166.249
WHO_SDG:SDG_SH_DTH_RNCOM.HUN.SEX_BTSX.GHECAUSES_GHE117.A,2002-01-01,4471.843
WHO_SDG:SDG_SH_DTH_RNCOM.HUN.SEX_BTSX.GHECAUSES_GHE117.A,2003-01-01,5088.744
WHO_SDG:SDG_SH_DTH_RNCOM.HUN.SEX_BTSX.GHECAUSES_GHE117.A,2004-01-01,4806.588
WHO_SDG:SDG_SH_DTH_RNCOM.HUN.SEX_BTSX.GHECAUSES_GHE117.A,2005-01-01,5988.514
WHO_SDG:SDG_SH_DTH_RNCOM.HUN.SEX_BTSX.GHECAUSES_GHE117.A,2006-01-01,5902.156
WHO_SDG:SDG_SH_DTH_RNCOM.HUN.SEX_BTSX.GHECAUSES_GHE117.A,2007-01-01,6286.609
WHO_SDG:SDG_SH_DTH_RNCOM.HUN.SEX_BTSX.GHECAUSES_GHE117.A,2008-01-01,5696.807
WHO_SDG:SDG_SH_DTH_RNCOM.HUN.SEX_BTSX.GHECAUSES_GHE117.A,2009-01-01,5777.458
WHO_SDG:SDG_SH_DTH_RNCOM.HUN.SEX_BTSX.GHECAUSES_GHE117.A,2010-01-01,5500.202
WHO_SDG:SDG_SH_DTH_RNCOM.HUN.SEX_BTSX.GHECAUSES_GHE117.A,2011-01-01,5735.438
WHO_SDG:SDG_SH_DTH_RNCOM.HUN.SEX_BTSX.GHECAUSES_GHE117.A,2012-01-01,6042.052
WHO_SDG:SDG_SH_DTH_RNCOM.HUN.SEX_BTSX.GHECAUSES_GHE117.A,2013-01-01,6165.894
WHO_SDG:SDG_SH_DTH_RNCOM.HUN.SEX_BTSX.GHECAUSES_GHE117.A,2014-01-01,6010.789
WHO_SDG:SDG_SH_DTH_RNCOM.HUN.SEX_BTSX.GHECAUSES_GHE117.A,2015-01-01,7137.041
WHO_SDG:SDG_SH_DTH_RNCOM.HUN.SEX_BTSX.GHECAUSES_GHE117.A,2016-01-01,6344.975
WHO_SDG:SDG_SH_DTH_RNCOM.HUN.SEX_BTSX.GHECAUSES_GHE117.A,2017-01-01,6983.521
WHO_SDG:SDG_SH_DTH_RNCOM.HUN.SEX_BTSX.GHECAUSES_GHE117.A,2018-01-01,7009.459
WHO_SDG:SDG_SH_DTH_RNCOM.HUN.SEX_BTSX.GHECAUSES_GHE117.A,2019-01-01,7043.928
