series_id,obs_date,value
WHO_SDG:SDG_SH_DTH_RNCOM.IND.SEX_MLE.GHECAUSES_GHE061.A,2000-01-01,274991.9
WHO_SDG:SDG_SH_DTH_RNCOM.IND.SEX_MLE.GHECAUSES_GHE061.A,2001-01-01,283542.0
WHO_SDG:SDG_SH_DTH_RNCOM.IND.SEX_MLE.GHECAUSES_GHE061.A,2002-01-01,289844.2
WHO_SDG:SDG_SH_DTH_RNCOM.IND.SEX_MLE.GHECAUSES_GHE061.A,2003-01-01,293303.7
WHO_SDG:SDG_SH_DTH_RNCOM.IND.SEX_MLE.GHECAUSES_GHE061.A,2004-01-01,289607.1
WHO_SDG:SDG_SH_DTH_RNCOM.IND.SEX_MLE.GHECAUSES_GHE061.A,2005-01-01,301927.6
WHO_SDG:SDG_SH_DTH_RNCOM.IND.SEX_MLE.GHECAUSES_GHE061.A,2006-01-01,315300.5
WHO_SDG:SDG_SH_DTH_RNCOM.IND.SEX_MLE.GHECAUSES_GHE061.A,2007-01-01,329087.7
WHO_SDG:SDG_SH_DTH_RNCOM.IND.SEX_MLE.GHECAUSES_GHE061.A,2008-01-01,343773.5
WHO_SDG:SDG_SH_DTH_RNCOM.IND.SEX_MLE.GHECAUSES_GHE061.A,2009-01-01,348209.5
WHO_SDG:SDG_SH_DTH_RNCOM.IND.SEX_MLE.GHECAUSES_GHE061.A,2010-01-01,357125.5
WHO_SDG:SDG_SH_DTH_RNCOM.IND.SEX_MLE.GHECAUSES_GHE061.A,2011-01-01,369105.0
WHO_SDG:SDG_SH_DTH_RNCOM.IND.SEX_MLE.GHECAUSES_GHE061.A,2012-01-01,378777.1
WHO_SDG:SDG_SH_DTH_RNCOM.IND.SEX_MLE.GHECAUSES_GHE061.A,2013-01-01,389442.2
WHO_SDG:SDG_SH_DTH_RNCOM.IND.SEX_MLE.GHECAUSES_GHE061.A,2014-01-01,393645.9
WHO_SDG:SDG_SH_DTH_RNCOM.IND.SEX_MLE.GHECAUSES_GHE061.A,2015-01-01,408168.8
WHO_SDG:SDG_SH_DTH_RNCOM.IND.SEX_MLE.GHECAUSES_GHE061.A,2016-01-01,424508.6
WHO_SDG:SDG_SH_DTH_RNCOM.IND.SEX_MLE.GHECAUSES_GHE061.A,2017-01-01,436623.3
WHO_SDG:SDG_SH_DTH_RNCOM.IND.SEX_MLE.GHECAUSES_GHE061.A,2018-01-01,454240.8
WHO_SDG:SDG_SH_DTH_RNCOM.IND.SEX_MLE.GHECAUSES_GHE061.A,2019-01-01,470111.2
