series_id,obs_date,value
WHO_SDG:SDG_SH_DTH_RNCOM.KAZ.SEX_BTSX.GHECAUSES_GHE061.A,2000-01-01,27215.71
WHO_SDG:SDG_SH_DTH_RNCOM.KAZ.SEX_BTSX.GHECAUSES_GHE061.A,2001-01-01,25989.76
WHO_SDG:SDG_SH_DTH_RNCOM.KAZ.SEX_BTSX.GHECAUSES_GHE061.A,2002-01-01,25410.54
WHO_SDG:SDG_SH_DTH_RNCOM.KAZ.SEX_BTSX.GHECAUSES_GHE061.A,2003-01-01,25745.69
WHO_SDG:SDG_SH_DTH_RNCOM.KAZ.SEX_BTSX.GHECAUSES_GHE061.A,2004-01-01,24439.82
WHO_SDG:SDG_SH_DTH_RNCOM.KAZ.SEX_BTSX.GHECAUSES_GHE061.A,2005-01-01,24527.11
WHO_SDG:SDG_SH_DTH_RNCOM.KAZ.SEX_BTSX.GHECAUSES_GHE061.A,2006-01-01,24233.77
WHO_SDG:SDG_SH_DTH_RNCOM.KAZ.SEX_BTSX.GHECAUSES_GHE061.A,2007-01-01,24351.07
WHO_SDG:SDG_SH_DTH_RNCOM.KAZ.SEX_BTSX.GHECAUSES_GHE061.A,2008-01-01,23448.68
WHO_SDG:SDG_SH_DTH_RNCOM.KAZ.SEX_BTSX.GHECAUSES_GHE061.A,2009-01-01,22592.06
WHO_SDG:SDG_SH_DTH_RNCOM.KAZ.SEX_BTSX.GHECAUSES_GHE061.A,2010-01-01,23701.54
WHO_SDG:SDG_SH_DTH_RNCOM.KAZ.SEX_BTSX.GHECAUSES_GHE061.A,2011-01-01,23678.44
WHO_SDG:SDG_SH_DTH_RNCOM.KAZ.SEX_BTSX.GHECAUSES_GHE061.A,2012-01-01,23746.24
WHO_SDG:SDG_SH_DTH_RNCOM.KAZ.SEX_BTSX.GHECAUSES_GHE061.A,2013-01-01,22714.93
WHO_SDG:SDG_SH_DTH_RNCOM.KAZ.SEX_BTSX.GHECAUSES_GHE061.A,2014-01-01,22381.39
WHO_SDG:SDG_SH_DTH_RNCOM.KAZ.SEX_BTSX.GHECAUSES_GHE061.A,2015-01-01,22260.61
WHO_SDG:SDG_SH_DTH_RNCOM.KAZ.SEX_BTSX.GHECAUSES_GHE061.A,2016-01-01,22450.51
WHO_SDG:SDG_SH_DTH_RNCOM.KAZ.SEX_BTSX.GHECAUSES_GHE061.A,2017-01-01,22485.84
WHO_SDG:SDG_SH_DTH_RNCOM.KAZ.SEX_BTSX.GHECAUSES_GHE061.A,2018-01-01,22062.59
WHO_SDG:SDG_SH_DTH_RNCOM.KAZ.SEX_BTSX.GHECAUSES_GHE061.A,2019-01-01,21875.63
