series_id,obs_date,value
WHO_SDG:SDG_SH_DTH_RNCOM.KWT.SEX_BTSX.GHECAUSES_GHE117.A,2000-01-01,58.07124
WHO_SDG:SDG_SH_DTH_RNCOM.KWT.SEX_BTSX.GHECAUSES_GHE117.A,2001-01-01,55.84578
WHO_SDG:SDG_SH_DTH_RNCOM.KWT.SEX_BTSX.GHECAUSES_GHE117.A,2002-01-01,62.3148
WHO_SDG:SDG_SH_DTH_RNCOM.KWT.SEX_BTSX.GHECAUSES_GHE117.A,2003-01-01,60.34465
WHO_SDG:SDG_SH_DTH_RNCOM.KWT.SEX_BTSX.GHECAUSES_GHE117.A,2004-01-01,62.93057
WHO_SDG:SDG_SH_DTH_RNCOM.KWT.SEX_BTSX.GHECAUSES_GHE117.A,2005-01-01,64.90742
WHO_SDG:SDG_SH_DTH_RNCOM.KWT.SEX_BTSX.GHECAUSES_GHE117.A,2006-01-01,66.88156
WHO_SDG:SDG_SH_DTH_RNCOM.KWT.SEX_BTSX.GHECAUSES_GHE117.A,2007-01-01,67.6754
WHO_SDG:SDG_SH_DTH_RNCOM.KWT.SEX_BTSX.GHECAUSES_GHE117.A,2008-01-01,77.96578
WHO_SDG:SDG_SH_DTH_RNCOM.KWT.SEX_BTSX.GHECAUSES_GHE117.A,2009-01-01,77.02876
WHO_SDG:SDG_SH_DTH_RNCOM.KWT.SEX_BTSX.GHECAUSES_GHE117.A,2010-01-01,71.10458
WHO_SDG:SDG_SH_DTH_RNCOM.KWT.SEX_BTSX.GHECAUSES_GHE117.A,2011-01-01,69.35099
WHO_SDG:SDG_SH_DTH_RNCOM.KWT.SEX_BTSX.GHECAUSES_GHE117.A,2012-01-01,72.94783
WHO_SDG:SDG_SH_DTH_RNCOM.KWT.SEX_BTSX.GHECAUSES_GHE117.A,2013-01-01,78.60489
WHO_SDG:SDG_SH_DTH_RNCOM.KWT.SEX_BTSX.GHECAUSES_GHE117.A,2014-01-01,84.28476
WHO_SDG:SDG_SH_DTH_RNCOM.KWT.SEX_BTSX.GHECAUSES_GHE117.A,2015-01-01,92.26828
WHO_SDG:SDG_SH_DTH_RNCOM.KWT.SEX_BTSX.GHECAUSES_GHE117.A,2016-01-01,102.8374
WHO_SDG:SDG_SH_DTH_RNCOM.KWT.SEX_BTSX.GHECAUSES_GHE117.A,2017-01-01,113.7165
WHO_SDG:SDG_SH_DTH_RNCOM.KWT.SEX_BTSX.GHECAUSES_GHE117.A,2018-01-01,124.0486
WHO_SDG:SDG_SH_DTH_RNCOM.KWT.SEX_BTSX.GHECAUSES_GHE117.A,2019-01-01,135.7582
