series_id,obs_date,value
WHO_SDG:SDG_SH_DTH_RNCOM.LBY.SEX_BTSX.GHECAUSES_GHE061.A,2000-01-01,2277.44
WHO_SDG:SDG_SH_DTH_RNCOM.LBY.SEX_BTSX.GHECAUSES_GHE061.A,2001-01-01,2333.552
WHO_SDG:SDG_SH_DTH_RNCOM.LBY.SEX_BTSX.GHECAUSES_GHE061.A,2002-01-01,2388.844
WHO_SDG:SDG_SH_DTH_RNCOM.LBY.SEX_BTSX.GHECAUSES_GHE061.A,2003-01-01,2402.824
WHO_SDG:SDG_SH_DTH_RNCOM.LBY.SEX_BTSX.GHECAUSES_GHE061.A,2004-01-01,2345.259
WHO_SDG:SDG_SH_DTH_RNCOM.LBY.SEX_BTSX.GHECAUSES_GHE061.A,2005-01-01,2371.499
WHO_SDG:SDG_SH_DTH_RNCOM.LBY.SEX_BTSX.GHECAUSES_GHE061.A,2006-01-01,2445.902
WHO_SDG:SDG_SH_DTH_RNCOM.LBY.SEX_BTSX.GHECAUSES_GHE061.A,2007-01-01,2667.569
WHO_SDG:SDG_SH_DTH_RNCOM.LBY.SEX_BTSX.GHECAUSES_GHE061.A,2008-01-01,2755.625
WHO_SDG:SDG_SH_DTH_RNCOM.LBY.SEX_BTSX.GHECAUSES_GHE061.A,2009-01-01,2842.587
WHO_SDG:SDG_SH_DTH_RNCOM.LBY.SEX_BTSX.GHECAUSES_GHE061.A,2010-01-01,2820.457
WHO_SDG:SDG_SH_DTH_RNCOM.LBY.SEX_BTSX.GHECAUSES_GHE061.A,2011-01-01,2826.11
WHO_SDG:SDG_SH_DTH_RNCOM.LBY.SEX_BTSX.GHECAUSES_GHE061.A,2012-01-01,2917.564
WHO_SDG:SDG_SH_DTH_RNCOM.LBY.SEX_BTSX.GHECAUSES_GHE061.A,2013-01-01,2958.921
WHO_SDG:SDG_SH_DTH_RNCOM.LBY.SEX_BTSX.GHECAUSES_GHE061.A,2014-01-01,2983.817
WHO_SDG:SDG_SH_DTH_RNCOM.LBY.SEX_BTSX.GHECAUSES_GHE061.A,2015-01-01,3076.236
WHO_SDG:SDG_SH_DTH_RNCOM.LBY.SEX_BTSX.GHECAUSES_GHE061.A,2016-01-01,3159.509
WHO_SDG:SDG_SH_DTH_RNCOM.LBY.SEX_BTSX.GHECAUSES_GHE061.A,2017-01-01,3306.859
WHO_SDG:SDG_SH_DTH_RNCOM.LBY.SEX_BTSX.GHECAUSES_GHE061.A,2018-01-01,3427.291
WHO_SDG:SDG_SH_DTH_RNCOM.LBY.SEX_BTSX.GHECAUSES_GHE061.A,2019-01-01,3557.498
