series_id,obs_date,value
WHO_SDG:SDG_SH_DTH_RNCOM.LCA.SEX_MLE.GHECAUSES_GHE117.A,2000-01-01,36.17465
WHO_SDG:SDG_SH_DTH_RNCOM.LCA.SEX_MLE.GHECAUSES_GHE117.A,2001-01-01,38.25659
WHO_SDG:SDG_SH_DTH_RNCOM.LCA.SEX_MLE.GHECAUSES_GHE117.A,2002-01-01,39.06865
WHO_SDG:SDG_SH_DTH_RNCOM.LCA.SEX_MLE.GHECAUSES_GHE117.A,2003-01-01,40.04275
WHO_SDG:SDG_SH_DTH_RNCOM.LCA.SEX_MLE.GHECAUSES_GHE117.A,2004-01-01,39.51287
WHO_SDG:SDG_SH_DTH_RNCOM.LCA.SEX_MLE.GHECAUSES_GHE117.A,2005-01-01,38.00853
WHO_SDG:SDG_SH_DTH_RNCOM.LCA.SEX_MLE.GHECAUSES_GHE117.A,2006-01-01,37.90617
WHO_SDG:SDG_SH_DTH_RNCOM.LCA.SEX_MLE.GHECAUSES_GHE117.A,2007-01-01,38.21003
WHO_SDG:SDG_SH_DTH_RNCOM.LCA.SEX_MLE.GHECAUSES_GHE117.A,2008-01-01,39.57721
WHO_SDG:SDG_SH_DTH_RNCOM.LCA.SEX_MLE.GHECAUSES_GHE117.A,2009-01-01,39.36761
WHO_SDG:SDG_SH_DTH_RNCOM.LCA.SEX_MLE.GHECAUSES_GHE117.A,2010-01-01,39.53335
WHO_SDG:SDG_SH_DTH_RNCOM.LCA.SEX_MLE.GHECAUSES_GHE117.A,2011-01-01,37.6087
WHO_SDG:SDG_SH_DTH_RNCOM.LCA.SEX_MLE.GHECAUSES_GHE117.A,2012-01-01,39.14332
WHO_SDG:SDG_SH_DTH_RNCOM.LCA.SEX_MLE.GHECAUSES_GHE117.A,2013-01-01,40.57375
WHO_SDG:SDG_SH_DTH_RNCOM.LCA.SEX_MLE.GHECAUSES_GHE117.A,2014-01-01,42.89089
WHO_SDG:SDG_SH_DTH_RNCOM.LCA.SEX_MLE.GHECAUSES_GHE117.A,2015-01-01,43.4691
WHO_SDG:SDG_SH_DTH_RNCOM.LCA.SEX_MLE.GHECAUSES_GHE117.A,2016-01-01,46.57826
WHO_SDG:SDG_SH_DTH_RNCOM.LCA.SEX_MLE.GHECAUSES_GHE117.A,2017-01-01,49.06725
WHO_SDG:SDG_SH_DTH_RNCOM.LCA.SEX_MLE.GHECAUSES_GHE117.A,2018-01-01,50.73462
WHO_SDG:SDG_SH_DTH_RNCOM.LCA.SEX_MLE.GHECAUSES_GHE117.A,2019-01-01,51.70424
