series_id,obs_date,value
WHO_SDG:SDG_SH_DTH_RNCOM.LTU.SEX_BTSX.GHECAUSES_GHE080.A,2000-01-01,245.0244
WHO_SDG:SDG_SH_DTH_RNCOM.LTU.SEX_BTSX.GHECAUSES_GHE080.A,2001-01-01,272.5828
WHO_SDG:SDG_SH_DTH_RNCOM.LTU.SEX_BTSX.GHECAUSES_GHE080.A,2002-01-01,304.9471
WHO_SDG:SDG_SH_DTH_RNCOM.LTU.SEX_BTSX.GHECAUSES_GHE080.A,2003-01-01,268.6262
WHO_SDG:SDG_SH_DTH_RNCOM.LTU.SEX_BTSX.GHECAUSES_GHE080.A,2004-01-01,310.915
WHO_SDG:SDG_SH_DTH_RNCOM.LTU.SEX_BTSX.GHECAUSES_GHE080.A,2005-01-01,342.4413
WHO_SDG:SDG_SH_DTH_RNCOM.LTU.SEX_BTSX.GHECAUSES_GHE080.A,2006-01-01,335.0821
WHO_SDG:SDG_SH_DTH_RNCOM.LTU.SEX_BTSX.GHECAUSES_GHE080.A,2007-01-01,306.4539
WHO_SDG:SDG_SH_DTH_RNCOM.LTU.SEX_BTSX.GHECAUSES_GHE080.A,2008-01-01,288.7748
WHO_SDG:SDG_SH_DTH_RNCOM.LTU.SEX_BTSX.GHECAUSES_GHE080.A,2009-01-01,308.0931
WHO_SDG:SDG_SH_DTH_RNCOM.LTU.SEX_BTSX.GHECAUSES_GHE080.A,2010-01-01,277.8411
WHO_SDG:SDG_SH_DTH_RNCOM.LTU.SEX_BTSX.GHECAUSES_GHE080.A,2011-01-01,281.4356
WHO_SDG:SDG_SH_DTH_RNCOM.LTU.SEX_BTSX.GHECAUSES_GHE080.A,2012-01-01,327.0953
WHO_SDG:SDG_SH_DTH_RNCOM.LTU.SEX_BTSX.GHECAUSES_GHE080.A,2013-01-01,310.1869
WHO_SDG:SDG_SH_DTH_RNCOM.LTU.SEX_BTSX.GHECAUSES_GHE080.A,2014-01-01,283.8986
WHO_SDG:SDG_SH_DTH_RNCOM.LTU.SEX_BTSX.GHECAUSES_GHE080.A,2015-01-01,323.5558
WHO_SDG:SDG_SH_DTH_RNCOM.LTU.SEX_BTSX.GHECAUSES_GHE080.A,2016-01-01,313.5349
WHO_SDG:SDG_SH_DTH_RNCOM.LTU.SEX_BTSX.GHECAUSES_GHE080.A,2017-01-01,433.775
WHO_SDG:SDG_SH_DTH_RNCOM.LTU.SEX_BTSX.GHECAUSES_GHE080.A,2018-01-01,548.4573
WHO_SDG:SDG_SH_DTH_RNCOM.LTU.SEX_BTSX.GHECAUSES_GHE080.A,2019-01-01,641.6536
