series_id,obs_date,value
WHO_SDG:SDG_SH_DTH_RNCOM.LUX.SEX_MLE.GHECAUSES_GHE080.A,2000-01-01,18.11595
WHO_SDG:SDG_SH_DTH_RNCOM.LUX.SEX_MLE.GHECAUSES_GHE080.A,2001-01-01,23.02592
WHO_SDG:SDG_SH_DTH_RNCOM.LUX.SEX_MLE.GHECAUSES_GHE080.A,2002-01-01,25.18674
WHO_SDG:SDG_SH_DTH_RNCOM.LUX.SEX_MLE.GHECAUSES_GHE080.A,2003-01-01,23.41549
WHO_SDG:SDG_SH_DTH_RNCOM.LUX.SEX_MLE.GHECAUSES_GHE080.A,2004-01-01,21.22592
WHO_SDG:SDG_SH_DTH_RNCOM.LUX.SEX_MLE.GHECAUSES_GHE080.A,2005-01-01,22.62377
WHO_SDG:SDG_SH_DTH_RNCOM.LUX.SEX_MLE.GHECAUSES_GHE080.A,2006-01-01,23.73647
WHO_SDG:SDG_SH_DTH_RNCOM.LUX.SEX_MLE.GHECAUSES_GHE080.A,2007-01-01,22.5087
WHO_SDG:SDG_SH_DTH_RNCOM.LUX.SEX_MLE.GHECAUSES_GHE080.A,2008-01-01,19.07148
WHO_SDG:SDG_SH_DTH_RNCOM.LUX.SEX_MLE.GHECAUSES_GHE080.A,2009-01-01,23.25666
WHO_SDG:SDG_SH_DTH_RNCOM.LUX.SEX_MLE.GHECAUSES_GHE080.A,2010-01-01,25.16125
WHO_SDG:SDG_SH_DTH_RNCOM.LUX.SEX_MLE.GHECAUSES_GHE080.A,2011-01-01,29.74286
WHO_SDG:SDG_SH_DTH_RNCOM.LUX.SEX_MLE.GHECAUSES_GHE080.A,2012-01-01,29.29733
WHO_SDG:SDG_SH_DTH_RNCOM.LUX.SEX_MLE.GHECAUSES_GHE080.A,2013-01-01,38.19306
WHO_SDG:SDG_SH_DTH_RNCOM.LUX.SEX_MLE.GHECAUSES_GHE080.A,2014-01-01,42.46062
WHO_SDG:SDG_SH_DTH_RNCOM.LUX.SEX_MLE.GHECAUSES_GHE080.A,2015-01-01,41.35425
WHO_SDG:SDG_SH_DTH_RNCOM.LUX.SEX_MLE.GHECAUSES_GHE080.A,2016-01-01,40.26068
WHO_SDG:SDG_SH_DTH_RNCOM.LUX.SEX_MLE.GHECAUSES_GHE080.A,2017-01-01,40.20251
WHO_SDG:SDG_SH_DTH_RNCOM.LUX.SEX_MLE.GHECAUSES_GHE080.A,2018-01-01,42.66082
WHO_SDG:SDG_SH_DTH_RNCOM.LUX.SEX_MLE.GHECAUSES_GHE080.A,2019-01-01,43.96268
