series_id,obs_date,value
WHO_SDG:SDG_SH_DTH_RNCOM.MDA.SEX_MLE.GHECAUSES_GHE061.A,2000-01-01,2996.468
WHO_SDG:SDG_SH_DTH_RNCOM.MDA.SEX_MLE.GHECAUSES_GHE061.A,2001-01-01,3043.809
WHO_SDG:SDG_SH_DTH_RNCOM.MDA.SEX_MLE.GHECAUSES_GHE061.A,2002-01-01,3158.972
WHO_SDG:SDG_SH_DTH_RNCOM.MDA.SEX_MLE.GHECAUSES_GHE061.A,2003-01-01,3182.359
WHO_SDG:SDG_SH_DTH_RNCOM.MDA.SEX_MLE.GHECAUSES_GHE061.A,2004-01-01,3345.426
WHO_SDG:SDG_SH_DTH_RNCOM.MDA.SEX_MLE.GHECAUSES_GHE061.A,2005-01-01,3438.725
WHO_SDG:SDG_SH_DTH_RNCOM.MDA.SEX_MLE.GHECAUSES_GHE061.A,2006-01-01,3551.392
WHO_SDG:SDG_SH_DTH_RNCOM.MDA.SEX_MLE.GHECAUSES_GHE061.A,2007-01-01,3437.396
WHO_SDG:SDG_SH_DTH_RNCOM.MDA.SEX_MLE.GHECAUSES_GHE061.A,2008-01-01,3566.389
WHO_SDG:SDG_SH_DTH_RNCOM.MDA.SEX_MLE.GHECAUSES_GHE061.A,2009-01-01,3732.872
WHO_SDG:SDG_SH_DTH_RNCOM.MDA.SEX_MLE.GHECAUSES_GHE061.A,2010-01-01,3768.125
WHO_SDG:SDG_SH_DTH_RNCOM.MDA.SEX_MLE.GHECAUSES_GHE061.A,2011-01-01,3711.564
WHO_SDG:SDG_SH_DTH_RNCOM.MDA.SEX_MLE.GHECAUSES_GHE061.A,2012-01-01,3923.848
WHO_SDG:SDG_SH_DTH_RNCOM.MDA.SEX_MLE.GHECAUSES_GHE061.A,2013-01-01,3937.863
WHO_SDG:SDG_SH_DTH_RNCOM.MDA.SEX_MLE.GHECAUSES_GHE061.A,2014-01-01,3960.935
WHO_SDG:SDG_SH_DTH_RNCOM.MDA.SEX_MLE.GHECAUSES_GHE061.A,2015-01-01,4049.531
WHO_SDG:SDG_SH_DTH_RNCOM.MDA.SEX_MLE.GHECAUSES_GHE061.A,2016-01-01,4143.779
WHO_SDG:SDG_SH_DTH_RNCOM.MDA.SEX_MLE.GHECAUSES_GHE061.A,2017-01-01,4126.031
WHO_SDG:SDG_SH_DTH_RNCOM.MDA.SEX_MLE.GHECAUSES_GHE061.A,2018-01-01,4171.564
WHO_SDG:SDG_SH_DTH_RNCOM.MDA.SEX_MLE.GHECAUSES_GHE061.A,2019-01-01,4156.075
