series_id,obs_date,value
WHO_SDG:SDG_SH_DTH_RNCOM.MDV.SEX_BTSX.GHECAUSES_GHE080.A,2000-01-01,54.54564
WHO_SDG:SDG_SH_DTH_RNCOM.MDV.SEX_BTSX.GHECAUSES_GHE080.A,2001-01-01,54.88376
WHO_SDG:SDG_SH_DTH_RNCOM.MDV.SEX_BTSX.GHECAUSES_GHE080.A,2002-01-01,55.29529
WHO_SDG:SDG_SH_DTH_RNCOM.MDV.SEX_BTSX.GHECAUSES_GHE080.A,2003-01-01,57.99182
WHO_SDG:SDG_SH_DTH_RNCOM.MDV.SEX_BTSX.GHECAUSES_GHE080.A,2004-01-01,58.66505
WHO_SDG:SDG_SH_DTH_RNCOM.MDV.SEX_BTSX.GHECAUSES_GHE080.A,2005-01-01,58.31117
WHO_SDG:SDG_SH_DTH_RNCOM.MDV.SEX_BTSX.GHECAUSES_GHE080.A,2006-01-01,59.85657
WHO_SDG:SDG_SH_DTH_RNCOM.MDV.SEX_BTSX.GHECAUSES_GHE080.A,2007-01-01,60.97617
WHO_SDG:SDG_SH_DTH_RNCOM.MDV.SEX_BTSX.GHECAUSES_GHE080.A,2008-01-01,62.11376
WHO_SDG:SDG_SH_DTH_RNCOM.MDV.SEX_BTSX.GHECAUSES_GHE080.A,2009-01-01,63.22297
WHO_SDG:SDG_SH_DTH_RNCOM.MDV.SEX_BTSX.GHECAUSES_GHE080.A,2010-01-01,64.58476
WHO_SDG:SDG_SH_DTH_RNCOM.MDV.SEX_BTSX.GHECAUSES_GHE080.A,2011-01-01,65.18555
WHO_SDG:SDG_SH_DTH_RNCOM.MDV.SEX_BTSX.GHECAUSES_GHE080.A,2012-01-01,67.63416
WHO_SDG:SDG_SH_DTH_RNCOM.MDV.SEX_BTSX.GHECAUSES_GHE080.A,2013-01-01,70.325
WHO_SDG:SDG_SH_DTH_RNCOM.MDV.SEX_BTSX.GHECAUSES_GHE080.A,2014-01-01,74.19677
WHO_SDG:SDG_SH_DTH_RNCOM.MDV.SEX_BTSX.GHECAUSES_GHE080.A,2015-01-01,78.82398
WHO_SDG:SDG_SH_DTH_RNCOM.MDV.SEX_BTSX.GHECAUSES_GHE080.A,2016-01-01,81.18686
WHO_SDG:SDG_SH_DTH_RNCOM.MDV.SEX_BTSX.GHECAUSES_GHE080.A,2017-01-01,83.42136
WHO_SDG:SDG_SH_DTH_RNCOM.MDV.SEX_BTSX.GHECAUSES_GHE080.A,2018-01-01,83.22786
WHO_SDG:SDG_SH_DTH_RNCOM.MDV.SEX_BTSX.GHECAUSES_GHE080.A,2019-01-01,83.37053
