series_id,obs_date,value
WHO_SDG:SDG_SH_DTH_RNCOM.MLI.SEX_FMLE.GHECAUSES_GHE117.A,2000-01-01,1452.768
WHO_SDG:SDG_SH_DTH_RNCOM.MLI.SEX_FMLE.GHECAUSES_GHE117.A,2001-01-01,1455.919
WHO_SDG:SDG_SH_DTH_RNCOM.MLI.SEX_FMLE.GHECAUSES_GHE117.A,2002-01-01,1462.501
WHO_SDG:SDG_SH_DTH_RNCOM.MLI.SEX_FMLE.GHECAUSES_GHE117.A,2003-01-01,1458.619
WHO_SDG:SDG_SH_DTH_RNCOM.MLI.SEX_FMLE.GHECAUSES_GHE117.A,2004-01-01,1464.487
WHO_SDG:SDG_SH_DTH_RNCOM.MLI.SEX_FMLE.GHECAUSES_GHE117.A,2005-01-01,1489.209
WHO_SDG:SDG_SH_DTH_RNCOM.MLI.SEX_FMLE.GHECAUSES_GHE117.A,2006-01-01,1494.487
WHO_SDG:SDG_SH_DTH_RNCOM.MLI.SEX_FMLE.GHECAUSES_GHE117.A,2007-01-01,1524.602
WHO_SDG:SDG_SH_DTH_RNCOM.MLI.SEX_FMLE.GHECAUSES_GHE117.A,2008-01-01,1556.551
WHO_SDG:SDG_SH_DTH_RNCOM.MLI.SEX_FMLE.GHECAUSES_GHE117.A,2009-01-01,1568.31
WHO_SDG:SDG_SH_DTH_RNCOM.MLI.SEX_FMLE.GHECAUSES_GHE117.A,2010-01-01,1565.744
WHO_SDG:SDG_SH_DTH_RNCOM.MLI.SEX_FMLE.GHECAUSES_GHE117.A,2011-01-01,1591.411
WHO_SDG:SDG_SH_DTH_RNCOM.MLI.SEX_FMLE.GHECAUSES_GHE117.A,2012-01-01,1633.388
WHO_SDG:SDG_SH_DTH_RNCOM.MLI.SEX_FMLE.GHECAUSES_GHE117.A,2013-01-01,1666.493
WHO_SDG:SDG_SH_DTH_RNCOM.MLI.SEX_FMLE.GHECAUSES_GHE117.A,2014-01-01,1675.93
WHO_SDG:SDG_SH_DTH_RNCOM.MLI.SEX_FMLE.GHECAUSES_GHE117.A,2015-01-01,1670.907
WHO_SDG:SDG_SH_DTH_RNCOM.MLI.SEX_FMLE.GHECAUSES_GHE117.A,2016-01-01,1672.084
WHO_SDG:SDG_SH_DTH_RNCOM.MLI.SEX_FMLE.GHECAUSES_GHE117.A,2017-01-01,1648.392
WHO_SDG:SDG_SH_DTH_RNCOM.MLI.SEX_FMLE.GHECAUSES_GHE117.A,2018-01-01,1667.174
WHO_SDG:SDG_SH_DTH_RNCOM.MLI.SEX_FMLE.GHECAUSES_GHE117.A,2019-01-01,1689.705
