series_id,obs_date,value
WHO_SDG:SDG_SH_DTH_RNCOM.NPL.SEX_FMLE.GHECAUSES_GHE117.A,2000-01-01,10241.21
WHO_SDG:SDG_SH_DTH_RNCOM.NPL.SEX_FMLE.GHECAUSES_GHE117.A,2001-01-01,10521.48
WHO_SDG:SDG_SH_DTH_RNCOM.NPL.SEX_FMLE.GHECAUSES_GHE117.A,2002-01-01,10839.81
WHO_SDG:SDG_SH_DTH_RNCOM.NPL.SEX_FMLE.GHECAUSES_GHE117.A,2003-01-01,11277.07
WHO_SDG:SDG_SH_DTH_RNCOM.NPL.SEX_FMLE.GHECAUSES_GHE117.A,2004-01-01,11418.46
WHO_SDG:SDG_SH_DTH_RNCOM.NPL.SEX_FMLE.GHECAUSES_GHE117.A,2005-01-01,11853.57
WHO_SDG:SDG_SH_DTH_RNCOM.NPL.SEX_FMLE.GHECAUSES_GHE117.A,2006-01-01,12331.67
WHO_SDG:SDG_SH_DTH_RNCOM.NPL.SEX_FMLE.GHECAUSES_GHE117.A,2007-01-01,12774.37
WHO_SDG:SDG_SH_DTH_RNCOM.NPL.SEX_FMLE.GHECAUSES_GHE117.A,2008-01-01,13213.48
WHO_SDG:SDG_SH_DTH_RNCOM.NPL.SEX_FMLE.GHECAUSES_GHE117.A,2009-01-01,13651.82
WHO_SDG:SDG_SH_DTH_RNCOM.NPL.SEX_FMLE.GHECAUSES_GHE117.A,2010-01-01,14004.32
WHO_SDG:SDG_SH_DTH_RNCOM.NPL.SEX_FMLE.GHECAUSES_GHE117.A,2011-01-01,14642.95
WHO_SDG:SDG_SH_DTH_RNCOM.NPL.SEX_FMLE.GHECAUSES_GHE117.A,2012-01-01,15258.44
WHO_SDG:SDG_SH_DTH_RNCOM.NPL.SEX_FMLE.GHECAUSES_GHE117.A,2013-01-01,15735.63
WHO_SDG:SDG_SH_DTH_RNCOM.NPL.SEX_FMLE.GHECAUSES_GHE117.A,2014-01-01,16258.79
WHO_SDG:SDG_SH_DTH_RNCOM.NPL.SEX_FMLE.GHECAUSES_GHE117.A,2015-01-01,16624.93
WHO_SDG:SDG_SH_DTH_RNCOM.NPL.SEX_FMLE.GHECAUSES_GHE117.A,2016-01-01,17180.8
WHO_SDG:SDG_SH_DTH_RNCOM.NPL.SEX_FMLE.GHECAUSES_GHE117.A,2017-01-01,17724.03
WHO_SDG:SDG_SH_DTH_RNCOM.NPL.SEX_FMLE.GHECAUSES_GHE117.A,2018-01-01,18250.84
WHO_SDG:SDG_SH_DTH_RNCOM.NPL.SEX_FMLE.GHECAUSES_GHE117.A,2019-01-01,18637.74
