series_id,obs_date,value
WHO_SDG:SDG_SH_DTH_RNCOM.POL.SEX_FMLE.GHECAUSES_GHE110.A,2000-01-01,96317.4
WHO_SDG:SDG_SH_DTH_RNCOM.POL.SEX_FMLE.GHECAUSES_GHE110.A,2001-01-01,96182.78
WHO_SDG:SDG_SH_DTH_RNCOM.POL.SEX_FMLE.GHECAUSES_GHE110.A,2002-01-01,93743.19
WHO_SDG:SDG_SH_DTH_RNCOM.POL.SEX_FMLE.GHECAUSES_GHE110.A,2003-01-01,96039.59
WHO_SDG:SDG_SH_DTH_RNCOM.POL.SEX_FMLE.GHECAUSES_GHE110.A,2004-01-01,92722.43
WHO_SDG:SDG_SH_DTH_RNCOM.POL.SEX_FMLE.GHECAUSES_GHE110.A,2005-01-01,91487.08
WHO_SDG:SDG_SH_DTH_RNCOM.POL.SEX_FMLE.GHECAUSES_GHE110.A,2006-01-01,91549.52
WHO_SDG:SDG_SH_DTH_RNCOM.POL.SEX_FMLE.GHECAUSES_GHE110.A,2007-01-01,93886.26
WHO_SDG:SDG_SH_DTH_RNCOM.POL.SEX_FMLE.GHECAUSES_GHE110.A,2008-01-01,95085.66
WHO_SDG:SDG_SH_DTH_RNCOM.POL.SEX_FMLE.GHECAUSES_GHE110.A,2009-01-01,97670.43
WHO_SDG:SDG_SH_DTH_RNCOM.POL.SEX_FMLE.GHECAUSES_GHE110.A,2010-01-01,94769.96
WHO_SDG:SDG_SH_DTH_RNCOM.POL.SEX_FMLE.GHECAUSES_GHE110.A,2011-01-01,93602.65
WHO_SDG:SDG_SH_DTH_RNCOM.POL.SEX_FMLE.GHECAUSES_GHE110.A,2012-01-01,97205.84
WHO_SDG:SDG_SH_DTH_RNCOM.POL.SEX_FMLE.GHECAUSES_GHE110.A,2013-01-01,99153.9
WHO_SDG:SDG_SH_DTH_RNCOM.POL.SEX_FMLE.GHECAUSES_GHE110.A,2014-01-01,96020.37
WHO_SDG:SDG_SH_DTH_RNCOM.POL.SEX_FMLE.GHECAUSES_GHE110.A,2015-01-01,100626.9
WHO_SDG:SDG_SH_DTH_RNCOM.POL.SEX_FMLE.GHECAUSES_GHE110.A,2016-01-01,95869.41
WHO_SDG:SDG_SH_DTH_RNCOM.POL.SEX_FMLE.GHECAUSES_GHE110.A,2017-01-01,99990.51
WHO_SDG:SDG_SH_DTH_RNCOM.POL.SEX_FMLE.GHECAUSES_GHE110.A,2018-01-01,98487.02
WHO_SDG:SDG_SH_DTH_RNCOM.POL.SEX_FMLE.GHECAUSES_GHE110.A,2019-01-01,95638.12
