series_id,obs_date,value
WHO_SDG:SDG_SH_DTH_RNCOM.SLE.SEX_BTSX.GHECAUSES_GHE061.A,2000-01-01,1750.944
WHO_SDG:SDG_SH_DTH_RNCOM.SLE.SEX_BTSX.GHECAUSES_GHE061.A,2001-01-01,1784.032
WHO_SDG:SDG_SH_DTH_RNCOM.SLE.SEX_BTSX.GHECAUSES_GHE061.A,2002-01-01,1878.457
WHO_SDG:SDG_SH_DTH_RNCOM.SLE.SEX_BTSX.GHECAUSES_GHE061.A,2003-01-01,1986.644
WHO_SDG:SDG_SH_DTH_RNCOM.SLE.SEX_BTSX.GHECAUSES_GHE061.A,2004-01-01,2112.939
WHO_SDG:SDG_SH_DTH_RNCOM.SLE.SEX_BTSX.GHECAUSES_GHE061.A,2005-01-01,2231.856
WHO_SDG:SDG_SH_DTH_RNCOM.SLE.SEX_BTSX.GHECAUSES_GHE061.A,2006-01-01,2307.405
WHO_SDG:SDG_SH_DTH_RNCOM.SLE.SEX_BTSX.GHECAUSES_GHE061.A,2007-01-01,2373.652
WHO_SDG:SDG_SH_DTH_RNCOM.SLE.SEX_BTSX.GHECAUSES_GHE061.A,2008-01-01,2386.333
WHO_SDG:SDG_SH_DTH_RNCOM.SLE.SEX_BTSX.GHECAUSES_GHE061.A,2009-01-01,2434.178
WHO_SDG:SDG_SH_DTH_RNCOM.SLE.SEX_BTSX.GHECAUSES_GHE061.A,2010-01-01,2520.402
WHO_SDG:SDG_SH_DTH_RNCOM.SLE.SEX_BTSX.GHECAUSES_GHE061.A,2011-01-01,2590.048
WHO_SDG:SDG_SH_DTH_RNCOM.SLE.SEX_BTSX.GHECAUSES_GHE061.A,2012-01-01,2682.559
WHO_SDG:SDG_SH_DTH_RNCOM.SLE.SEX_BTSX.GHECAUSES_GHE061.A,2013-01-01,2760.785
WHO_SDG:SDG_SH_DTH_RNCOM.SLE.SEX_BTSX.GHECAUSES_GHE061.A,2014-01-01,2843.477
WHO_SDG:SDG_SH_DTH_RNCOM.SLE.SEX_BTSX.GHECAUSES_GHE061.A,2015-01-01,2883.856
WHO_SDG:SDG_SH_DTH_RNCOM.SLE.SEX_BTSX.GHECAUSES_GHE061.A,2016-01-01,2968.795
WHO_SDG:SDG_SH_DTH_RNCOM.SLE.SEX_BTSX.GHECAUSES_GHE061.A,2017-01-01,3068.489
WHO_SDG:SDG_SH_DTH_RNCOM.SLE.SEX_BTSX.GHECAUSES_GHE061.A,2018-01-01,3179.398
WHO_SDG:SDG_SH_DTH_RNCOM.SLE.SEX_BTSX.GHECAUSES_GHE061.A,2019-01-01,3246.322
