series_id,obs_date,value
WHO_SDG:SDG_SH_DTH_RNCOM.SUR.SEX_BTSX.GHECAUSES_GHE061.A,2000-01-01,325.3168
WHO_SDG:SDG_SH_DTH_RNCOM.SUR.SEX_BTSX.GHECAUSES_GHE061.A,2001-01-01,342.0922
WHO_SDG:SDG_SH_DTH_RNCOM.SUR.SEX_BTSX.GHECAUSES_GHE061.A,2002-01-01,360.0758
WHO_SDG:SDG_SH_DTH_RNCOM.SUR.SEX_BTSX.GHECAUSES_GHE061.A,2003-01-01,372.3198
WHO_SDG:SDG_SH_DTH_RNCOM.SUR.SEX_BTSX.GHECAUSES_GHE061.A,2004-01-01,379.2371
WHO_SDG:SDG_SH_DTH_RNCOM.SUR.SEX_BTSX.GHECAUSES_GHE061.A,2005-01-01,390.1674
WHO_SDG:SDG_SH_DTH_RNCOM.SUR.SEX_BTSX.GHECAUSES_GHE061.A,2006-01-01,401.5103
WHO_SDG:SDG_SH_DTH_RNCOM.SUR.SEX_BTSX.GHECAUSES_GHE061.A,2007-01-01,411.9144
WHO_SDG:SDG_SH_DTH_RNCOM.SUR.SEX_BTSX.GHECAUSES_GHE061.A,2008-01-01,418.7969
WHO_SDG:SDG_SH_DTH_RNCOM.SUR.SEX_BTSX.GHECAUSES_GHE061.A,2009-01-01,429.6712
WHO_SDG:SDG_SH_DTH_RNCOM.SUR.SEX_BTSX.GHECAUSES_GHE061.A,2010-01-01,437.1884
WHO_SDG:SDG_SH_DTH_RNCOM.SUR.SEX_BTSX.GHECAUSES_GHE061.A,2011-01-01,453.7139
WHO_SDG:SDG_SH_DTH_RNCOM.SUR.SEX_BTSX.GHECAUSES_GHE061.A,2012-01-01,469.3559
WHO_SDG:SDG_SH_DTH_RNCOM.SUR.SEX_BTSX.GHECAUSES_GHE061.A,2013-01-01,481.9902
WHO_SDG:SDG_SH_DTH_RNCOM.SUR.SEX_BTSX.GHECAUSES_GHE061.A,2014-01-01,491.5948
WHO_SDG:SDG_SH_DTH_RNCOM.SUR.SEX_BTSX.GHECAUSES_GHE061.A,2015-01-01,505.4352
WHO_SDG:SDG_SH_DTH_RNCOM.SUR.SEX_BTSX.GHECAUSES_GHE061.A,2016-01-01,537.7897
WHO_SDG:SDG_SH_DTH_RNCOM.SUR.SEX_BTSX.GHECAUSES_GHE061.A,2017-01-01,572.9081
WHO_SDG:SDG_SH_DTH_RNCOM.SUR.SEX_BTSX.GHECAUSES_GHE061.A,2018-01-01,617.1115
WHO_SDG:SDG_SH_DTH_RNCOM.SUR.SEX_BTSX.GHECAUSES_GHE061.A,2019-01-01,646.1248
