series_id,obs_date,value
WHO_SDG:SDG_SH_DTH_RNCOM.SYC.SEX_BTSX.GHECAUSES_GHE110.A,2000-01-01,195.2375
WHO_SDG:SDG_SH_DTH_RNCOM.SYC.SEX_BTSX.GHECAUSES_GHE110.A,2001-01-01,197.3831
WHO_SDG:SDG_SH_DTH_RNCOM.SYC.SEX_BTSX.GHECAUSES_GHE110.A,2002-01-01,201.9745
WHO_SDG:SDG_SH_DTH_RNCOM.SYC.SEX_BTSX.GHECAUSES_GHE110.A,2003-01-01,208.5057
WHO_SDG:SDG_SH_DTH_RNCOM.SYC.SEX_BTSX.GHECAUSES_GHE110.A,2004-01-01,206.8266
WHO_SDG:SDG_SH_DTH_RNCOM.SYC.SEX_BTSX.GHECAUSES_GHE110.A,2005-01-01,207.2905
WHO_SDG:SDG_SH_DTH_RNCOM.SYC.SEX_BTSX.GHECAUSES_GHE110.A,2006-01-01,209.57
WHO_SDG:SDG_SH_DTH_RNCOM.SYC.SEX_BTSX.GHECAUSES_GHE110.A,2007-01-01,209.3393
WHO_SDG:SDG_SH_DTH_RNCOM.SYC.SEX_BTSX.GHECAUSES_GHE110.A,2008-01-01,215.9879
WHO_SDG:SDG_SH_DTH_RNCOM.SYC.SEX_BTSX.GHECAUSES_GHE110.A,2009-01-01,216.1264
WHO_SDG:SDG_SH_DTH_RNCOM.SYC.SEX_BTSX.GHECAUSES_GHE110.A,2010-01-01,210.732
WHO_SDG:SDG_SH_DTH_RNCOM.SYC.SEX_BTSX.GHECAUSES_GHE110.A,2011-01-01,208.3706
WHO_SDG:SDG_SH_DTH_RNCOM.SYC.SEX_BTSX.GHECAUSES_GHE110.A,2012-01-01,215.0433
WHO_SDG:SDG_SH_DTH_RNCOM.SYC.SEX_BTSX.GHECAUSES_GHE110.A,2013-01-01,214.6329
WHO_SDG:SDG_SH_DTH_RNCOM.SYC.SEX_BTSX.GHECAUSES_GHE110.A,2014-01-01,214.2215
WHO_SDG:SDG_SH_DTH_RNCOM.SYC.SEX_BTSX.GHECAUSES_GHE110.A,2015-01-01,215.8412
WHO_SDG:SDG_SH_DTH_RNCOM.SYC.SEX_BTSX.GHECAUSES_GHE110.A,2016-01-01,222.4056
WHO_SDG:SDG_SH_DTH_RNCOM.SYC.SEX_BTSX.GHECAUSES_GHE110.A,2017-01-01,228.6924
WHO_SDG:SDG_SH_DTH_RNCOM.SYC.SEX_BTSX.GHECAUSES_GHE110.A,2018-01-01,231.6623
WHO_SDG:SDG_SH_DTH_RNCOM.SYC.SEX_BTSX.GHECAUSES_GHE110.A,2019-01-01,234.4627
