series_id,obs_date,value
WHO_SDG:SDG_SH_DTH_RNCOM.SYR.SEX_FMLE.GHECAUSES_GHE110.A,2000-01-01,15848.58
WHO_SDG:SDG_SH_DTH_RNCOM.SYR.SEX_FMLE.GHECAUSES_GHE110.A,2001-01-01,15364.58
WHO_SDG:SDG_SH_DTH_RNCOM.SYR.SEX_FMLE.GHECAUSES_GHE110.A,2002-01-01,15378.89
WHO_SDG:SDG_SH_DTH_RNCOM.SYR.SEX_FMLE.GHECAUSES_GHE110.A,2003-01-01,14504.85
WHO_SDG:SDG_SH_DTH_RNCOM.SYR.SEX_FMLE.GHECAUSES_GHE110.A,2004-01-01,14526.41
WHO_SDG:SDG_SH_DTH_RNCOM.SYR.SEX_FMLE.GHECAUSES_GHE110.A,2005-01-01,14161.21
WHO_SDG:SDG_SH_DTH_RNCOM.SYR.SEX_FMLE.GHECAUSES_GHE110.A,2006-01-01,14801.12
WHO_SDG:SDG_SH_DTH_RNCOM.SYR.SEX_FMLE.GHECAUSES_GHE110.A,2007-01-01,15523.55
WHO_SDG:SDG_SH_DTH_RNCOM.SYR.SEX_FMLE.GHECAUSES_GHE110.A,2008-01-01,16046.67
WHO_SDG:SDG_SH_DTH_RNCOM.SYR.SEX_FMLE.GHECAUSES_GHE110.A,2009-01-01,16295.31
WHO_SDG:SDG_SH_DTH_RNCOM.SYR.SEX_FMLE.GHECAUSES_GHE110.A,2010-01-01,16892.56
WHO_SDG:SDG_SH_DTH_RNCOM.SYR.SEX_FMLE.GHECAUSES_GHE110.A,2011-01-01,17654.11
WHO_SDG:SDG_SH_DTH_RNCOM.SYR.SEX_FMLE.GHECAUSES_GHE110.A,2012-01-01,17884.51
WHO_SDG:SDG_SH_DTH_RNCOM.SYR.SEX_FMLE.GHECAUSES_GHE110.A,2013-01-01,18487.93
WHO_SDG:SDG_SH_DTH_RNCOM.SYR.SEX_FMLE.GHECAUSES_GHE110.A,2014-01-01,16563.92
WHO_SDG:SDG_SH_DTH_RNCOM.SYR.SEX_FMLE.GHECAUSES_GHE110.A,2015-01-01,16023.49
WHO_SDG:SDG_SH_DTH_RNCOM.SYR.SEX_FMLE.GHECAUSES_GHE110.A,2016-01-01,17785.17
WHO_SDG:SDG_SH_DTH_RNCOM.SYR.SEX_FMLE.GHECAUSES_GHE110.A,2017-01-01,18753.6
WHO_SDG:SDG_SH_DTH_RNCOM.SYR.SEX_FMLE.GHECAUSES_GHE110.A,2018-01-01,18951.86
WHO_SDG:SDG_SH_DTH_RNCOM.SYR.SEX_FMLE.GHECAUSES_GHE110.A,2019-01-01,19849.06
