series_id,obs_date,value
WHO_SDG:SDG_SH_DTH_RNCOM.TJK.SEX_MLE.GHECAUSES_GHE061.A,2000-01-01,1292.536
WHO_SDG:SDG_SH_DTH_RNCOM.TJK.SEX_MLE.GHECAUSES_GHE061.A,2001-01-01,1299.41
WHO_SDG:SDG_SH_DTH_RNCOM.TJK.SEX_MLE.GHECAUSES_GHE061.A,2002-01-01,1337.983
WHO_SDG:SDG_SH_DTH_RNCOM.TJK.SEX_MLE.GHECAUSES_GHE061.A,2003-01-01,1371.106
WHO_SDG:SDG_SH_DTH_RNCOM.TJK.SEX_MLE.GHECAUSES_GHE061.A,2004-01-01,1436.79
WHO_SDG:SDG_SH_DTH_RNCOM.TJK.SEX_MLE.GHECAUSES_GHE061.A,2005-01-01,1516.915
WHO_SDG:SDG_SH_DTH_RNCOM.TJK.SEX_MLE.GHECAUSES_GHE061.A,2006-01-01,1559.127
WHO_SDG:SDG_SH_DTH_RNCOM.TJK.SEX_MLE.GHECAUSES_GHE061.A,2007-01-01,1611.209
WHO_SDG:SDG_SH_DTH_RNCOM.TJK.SEX_MLE.GHECAUSES_GHE061.A,2008-01-01,1649.622
WHO_SDG:SDG_SH_DTH_RNCOM.TJK.SEX_MLE.GHECAUSES_GHE061.A,2009-01-01,1669.388
WHO_SDG:SDG_SH_DTH_RNCOM.TJK.SEX_MLE.GHECAUSES_GHE061.A,2010-01-01,1714.682
WHO_SDG:SDG_SH_DTH_RNCOM.TJK.SEX_MLE.GHECAUSES_GHE061.A,2011-01-01,1750.087
WHO_SDG:SDG_SH_DTH_RNCOM.TJK.SEX_MLE.GHECAUSES_GHE061.A,2012-01-01,1767.113
WHO_SDG:SDG_SH_DTH_RNCOM.TJK.SEX_MLE.GHECAUSES_GHE061.A,2013-01-01,1770.173
WHO_SDG:SDG_SH_DTH_RNCOM.TJK.SEX_MLE.GHECAUSES_GHE061.A,2014-01-01,1813.677
WHO_SDG:SDG_SH_DTH_RNCOM.TJK.SEX_MLE.GHECAUSES_GHE061.A,2015-01-01,1849.517
WHO_SDG:SDG_SH_DTH_RNCOM.TJK.SEX_MLE.GHECAUSES_GHE061.A,2016-01-01,1917.688
WHO_SDG:SDG_SH_DTH_RNCOM.TJK.SEX_MLE.GHECAUSES_GHE061.A,2017-01-01,1982.411
WHO_SDG:SDG_SH_DTH_RNCOM.TJK.SEX_MLE.GHECAUSES_GHE061.A,2018-01-01,2011.161
WHO_SDG:SDG_SH_DTH_RNCOM.TJK.SEX_MLE.GHECAUSES_GHE061.A,2019-01-01,2060.889
