series_id,obs_date,value
WHO_SDG:SDG_SH_DTH_RNCOM.URY.SEX_BTSX.GHECAUSES_GHE080.A,2000-01-01,693.8003
WHO_SDG:SDG_SH_DTH_RNCOM.URY.SEX_BTSX.GHECAUSES_GHE080.A,2001-01-01,706.3353
WHO_SDG:SDG_SH_DTH_RNCOM.URY.SEX_BTSX.GHECAUSES_GHE080.A,2002-01-01,698.6833
WHO_SDG:SDG_SH_DTH_RNCOM.URY.SEX_BTSX.GHECAUSES_GHE080.A,2003-01-01,772.6179
WHO_SDG:SDG_SH_DTH_RNCOM.URY.SEX_BTSX.GHECAUSES_GHE080.A,2004-01-01,793.4129
WHO_SDG:SDG_SH_DTH_RNCOM.URY.SEX_BTSX.GHECAUSES_GHE080.A,2005-01-01,747.0666
WHO_SDG:SDG_SH_DTH_RNCOM.URY.SEX_BTSX.GHECAUSES_GHE080.A,2006-01-01,764.291
WHO_SDG:SDG_SH_DTH_RNCOM.URY.SEX_BTSX.GHECAUSES_GHE080.A,2007-01-01,780.3121
WHO_SDG:SDG_SH_DTH_RNCOM.URY.SEX_BTSX.GHECAUSES_GHE080.A,2008-01-01,701.1337
WHO_SDG:SDG_SH_DTH_RNCOM.URY.SEX_BTSX.GHECAUSES_GHE080.A,2009-01-01,754.2295
WHO_SDG:SDG_SH_DTH_RNCOM.URY.SEX_BTSX.GHECAUSES_GHE080.A,2010-01-01,795.7385
WHO_SDG:SDG_SH_DTH_RNCOM.URY.SEX_BTSX.GHECAUSES_GHE080.A,2011-01-01,824.4864
WHO_SDG:SDG_SH_DTH_RNCOM.URY.SEX_BTSX.GHECAUSES_GHE080.A,2012-01-01,792.0235
WHO_SDG:SDG_SH_DTH_RNCOM.URY.SEX_BTSX.GHECAUSES_GHE080.A,2013-01-01,866.1521
WHO_SDG:SDG_SH_DTH_RNCOM.URY.SEX_BTSX.GHECAUSES_GHE080.A,2014-01-01,929.2031
WHO_SDG:SDG_SH_DTH_RNCOM.URY.SEX_BTSX.GHECAUSES_GHE080.A,2015-01-01,943.6187
WHO_SDG:SDG_SH_DTH_RNCOM.URY.SEX_BTSX.GHECAUSES_GHE080.A,2016-01-01,996.007
WHO_SDG:SDG_SH_DTH_RNCOM.URY.SEX_BTSX.GHECAUSES_GHE080.A,2017-01-01,890.4352
WHO_SDG:SDG_SH_DTH_RNCOM.URY.SEX_BTSX.GHECAUSES_GHE080.A,2018-01-01,976.4349
WHO_SDG:SDG_SH_DTH_RNCOM.URY.SEX_BTSX.GHECAUSES_GHE080.A,2019-01-01,1003.683
