series_id,obs_date,value
WHO_SDG:SDG_SH_DTH_RNCOM.VEN.SEX_BTSX.GHECAUSES_GHE061.A,2000-01-01,15400.0
WHO_SDG:SDG_SH_DTH_RNCOM.VEN.SEX_BTSX.GHECAUSES_GHE061.A,2001-01-01,15811.55
WHO_SDG:SDG_SH_DTH_RNCOM.VEN.SEX_BTSX.GHECAUSES_GHE061.A,2002-01-01,16532.01
WHO_SDG:SDG_SH_DTH_RNCOM.VEN.SEX_BTSX.GHECAUSES_GHE061.A,2003-01-01,17357.53
WHO_SDG:SDG_SH_DTH_RNCOM.VEN.SEX_BTSX.GHECAUSES_GHE061.A,2004-01-01,17634.04
WHO_SDG:SDG_SH_DTH_RNCOM.VEN.SEX_BTSX.GHECAUSES_GHE061.A,2005-01-01,18299.38
WHO_SDG:SDG_SH_DTH_RNCOM.VEN.SEX_BTSX.GHECAUSES_GHE061.A,2006-01-01,18683.12
WHO_SDG:SDG_SH_DTH_RNCOM.VEN.SEX_BTSX.GHECAUSES_GHE061.A,2007-01-01,19382.86
WHO_SDG:SDG_SH_DTH_RNCOM.VEN.SEX_BTSX.GHECAUSES_GHE061.A,2008-01-01,19897.31
WHO_SDG:SDG_SH_DTH_RNCOM.VEN.SEX_BTSX.GHECAUSES_GHE061.A,2009-01-01,20385.72
WHO_SDG:SDG_SH_DTH_RNCOM.VEN.SEX_BTSX.GHECAUSES_GHE061.A,2010-01-01,21312.38
WHO_SDG:SDG_SH_DTH_RNCOM.VEN.SEX_BTSX.GHECAUSES_GHE061.A,2011-01-01,22457.41
WHO_SDG:SDG_SH_DTH_RNCOM.VEN.SEX_BTSX.GHECAUSES_GHE061.A,2012-01-01,22962.18
WHO_SDG:SDG_SH_DTH_RNCOM.VEN.SEX_BTSX.GHECAUSES_GHE061.A,2013-01-01,23247.15
WHO_SDG:SDG_SH_DTH_RNCOM.VEN.SEX_BTSX.GHECAUSES_GHE061.A,2014-01-01,24347.79
WHO_SDG:SDG_SH_DTH_RNCOM.VEN.SEX_BTSX.GHECAUSES_GHE061.A,2015-01-01,24435.4
WHO_SDG:SDG_SH_DTH_RNCOM.VEN.SEX_BTSX.GHECAUSES_GHE061.A,2016-01-01,24993.13
WHO_SDG:SDG_SH_DTH_RNCOM.VEN.SEX_BTSX.GHECAUSES_GHE061.A,2017-01-01,25350.11
WHO_SDG:SDG_SH_DTH_RNCOM.VEN.SEX_BTSX.GHECAUSES_GHE061.A,2018-01-01,25635.19
WHO_SDG:SDG_SH_DTH_RNCOM.VEN.SEX_BTSX.GHECAUSES_GHE061.A,2019-01-01,25998.76
