series_id,obs_date,value
WHO_SDG:SDG_SH_DTH_RNCOM.VEN.SEX_FMLE.GHECAUSES_GHE080.A,2000-01-01,3043.513
WHO_SDG:SDG_SH_DTH_RNCOM.VEN.SEX_FMLE.GHECAUSES_GHE080.A,2001-01-01,3172.784
WHO_SDG:SDG_SH_DTH_RNCOM.VEN.SEX_FMLE.GHECAUSES_GHE080.A,2002-01-01,3278.303
WHO_SDG:SDG_SH_DTH_RNCOM.VEN.SEX_FMLE.GHECAUSES_GHE080.A,2003-01-01,3483.821
WHO_SDG:SDG_SH_DTH_RNCOM.VEN.SEX_FMLE.GHECAUSES_GHE080.A,2004-01-01,3571.983
WHO_SDG:SDG_SH_DTH_RNCOM.VEN.SEX_FMLE.GHECAUSES_GHE080.A,2005-01-01,3625.181
WHO_SDG:SDG_SH_DTH_RNCOM.VEN.SEX_FMLE.GHECAUSES_GHE080.A,2006-01-01,3624.027
WHO_SDG:SDG_SH_DTH_RNCOM.VEN.SEX_FMLE.GHECAUSES_GHE080.A,2007-01-01,3870.386
WHO_SDG:SDG_SH_DTH_RNCOM.VEN.SEX_FMLE.GHECAUSES_GHE080.A,2008-01-01,4123.812
WHO_SDG:SDG_SH_DTH_RNCOM.VEN.SEX_FMLE.GHECAUSES_GHE080.A,2009-01-01,4363.878
WHO_SDG:SDG_SH_DTH_RNCOM.VEN.SEX_FMLE.GHECAUSES_GHE080.A,2010-01-01,4678.868
WHO_SDG:SDG_SH_DTH_RNCOM.VEN.SEX_FMLE.GHECAUSES_GHE080.A,2011-01-01,4784.838
WHO_SDG:SDG_SH_DTH_RNCOM.VEN.SEX_FMLE.GHECAUSES_GHE080.A,2012-01-01,5182.076
WHO_SDG:SDG_SH_DTH_RNCOM.VEN.SEX_FMLE.GHECAUSES_GHE080.A,2013-01-01,5437.951
WHO_SDG:SDG_SH_DTH_RNCOM.VEN.SEX_FMLE.GHECAUSES_GHE080.A,2014-01-01,6413.191
WHO_SDG:SDG_SH_DTH_RNCOM.VEN.SEX_FMLE.GHECAUSES_GHE080.A,2015-01-01,6322.897
WHO_SDG:SDG_SH_DTH_RNCOM.VEN.SEX_FMLE.GHECAUSES_GHE080.A,2016-01-01,6825.623
WHO_SDG:SDG_SH_DTH_RNCOM.VEN.SEX_FMLE.GHECAUSES_GHE080.A,2017-01-01,7128.218
WHO_SDG:SDG_SH_DTH_RNCOM.VEN.SEX_FMLE.GHECAUSES_GHE080.A,2018-01-01,7346.282
WHO_SDG:SDG_SH_DTH_RNCOM.VEN.SEX_FMLE.GHECAUSES_GHE080.A,2019-01-01,7745.113
