series_id,obs_date,value
WHO_SDG:SDG_SH_DTH_RNCOM.VNM.SEX_FMLE.GHECAUSES_GHE110.A,2000-01-01,93091.37
WHO_SDG:SDG_SH_DTH_RNCOM.VNM.SEX_FMLE.GHECAUSES_GHE110.A,2001-01-01,95965.0
WHO_SDG:SDG_SH_DTH_RNCOM.VNM.SEX_FMLE.GHECAUSES_GHE110.A,2002-01-01,98720.24
WHO_SDG:SDG_SH_DTH_RNCOM.VNM.SEX_FMLE.GHECAUSES_GHE110.A,2003-01-01,101140.3
WHO_SDG:SDG_SH_DTH_RNCOM.VNM.SEX_FMLE.GHECAUSES_GHE110.A,2004-01-01,104116.1
WHO_SDG:SDG_SH_DTH_RNCOM.VNM.SEX_FMLE.GHECAUSES_GHE110.A,2005-01-01,106818.2
WHO_SDG:SDG_SH_DTH_RNCOM.VNM.SEX_FMLE.GHECAUSES_GHE110.A,2006-01-01,110501.3
WHO_SDG:SDG_SH_DTH_RNCOM.VNM.SEX_FMLE.GHECAUSES_GHE110.A,2007-01-01,114096.8
WHO_SDG:SDG_SH_DTH_RNCOM.VNM.SEX_FMLE.GHECAUSES_GHE110.A,2008-01-01,117185.4
WHO_SDG:SDG_SH_DTH_RNCOM.VNM.SEX_FMLE.GHECAUSES_GHE110.A,2009-01-01,119942.5
WHO_SDG:SDG_SH_DTH_RNCOM.VNM.SEX_FMLE.GHECAUSES_GHE110.A,2010-01-01,122026.8
WHO_SDG:SDG_SH_DTH_RNCOM.VNM.SEX_FMLE.GHECAUSES_GHE110.A,2011-01-01,124450.0
WHO_SDG:SDG_SH_DTH_RNCOM.VNM.SEX_FMLE.GHECAUSES_GHE110.A,2012-01-01,126438.5
WHO_SDG:SDG_SH_DTH_RNCOM.VNM.SEX_FMLE.GHECAUSES_GHE110.A,2013-01-01,127318.2
WHO_SDG:SDG_SH_DTH_RNCOM.VNM.SEX_FMLE.GHECAUSES_GHE110.A,2014-01-01,128245.4
WHO_SDG:SDG_SH_DTH_RNCOM.VNM.SEX_FMLE.GHECAUSES_GHE110.A,2015-01-01,128746.3
WHO_SDG:SDG_SH_DTH_RNCOM.VNM.SEX_FMLE.GHECAUSES_GHE110.A,2016-01-01,130110.0
WHO_SDG:SDG_SH_DTH_RNCOM.VNM.SEX_FMLE.GHECAUSES_GHE110.A,2017-01-01,131357.8
WHO_SDG:SDG_SH_DTH_RNCOM.VNM.SEX_FMLE.GHECAUSES_GHE110.A,2018-01-01,132313.7
WHO_SDG:SDG_SH_DTH_RNCOM.VNM.SEX_FMLE.GHECAUSES_GHE110.A,2019-01-01,132806.1
