series_id,obs_date,value
WHO_SDG:SDG_SH_DTH_RNCOM.VUT.SEX_MLE.GHECAUSES_GHE117.A,2000-01-01,81.20319
WHO_SDG:SDG_SH_DTH_RNCOM.VUT.SEX_MLE.GHECAUSES_GHE117.A,2001-01-01,81.21457
WHO_SDG:SDG_SH_DTH_RNCOM.VUT.SEX_MLE.GHECAUSES_GHE117.A,2002-01-01,81.86112
WHO_SDG:SDG_SH_DTH_RNCOM.VUT.SEX_MLE.GHECAUSES_GHE117.A,2003-01-01,81.7458
WHO_SDG:SDG_SH_DTH_RNCOM.VUT.SEX_MLE.GHECAUSES_GHE117.A,2004-01-01,81.3534
WHO_SDG:SDG_SH_DTH_RNCOM.VUT.SEX_MLE.GHECAUSES_GHE117.A,2005-01-01,80.521
WHO_SDG:SDG_SH_DTH_RNCOM.VUT.SEX_MLE.GHECAUSES_GHE117.A,2006-01-01,83.35201
WHO_SDG:SDG_SH_DTH_RNCOM.VUT.SEX_MLE.GHECAUSES_GHE117.A,2007-01-01,84.21864
WHO_SDG:SDG_SH_DTH_RNCOM.VUT.SEX_MLE.GHECAUSES_GHE117.A,2008-01-01,85.17511
WHO_SDG:SDG_SH_DTH_RNCOM.VUT.SEX_MLE.GHECAUSES_GHE117.A,2009-01-01,87.67773
WHO_SDG:SDG_SH_DTH_RNCOM.VUT.SEX_MLE.GHECAUSES_GHE117.A,2010-01-01,88.43797
WHO_SDG:SDG_SH_DTH_RNCOM.VUT.SEX_MLE.GHECAUSES_GHE117.A,2011-01-01,90.34923
WHO_SDG:SDG_SH_DTH_RNCOM.VUT.SEX_MLE.GHECAUSES_GHE117.A,2012-01-01,93.42691
WHO_SDG:SDG_SH_DTH_RNCOM.VUT.SEX_MLE.GHECAUSES_GHE117.A,2013-01-01,95.61825
WHO_SDG:SDG_SH_DTH_RNCOM.VUT.SEX_MLE.GHECAUSES_GHE117.A,2014-01-01,96.93148
WHO_SDG:SDG_SH_DTH_RNCOM.VUT.SEX_MLE.GHECAUSES_GHE117.A,2015-01-01,98.58937
WHO_SDG:SDG_SH_DTH_RNCOM.VUT.SEX_MLE.GHECAUSES_GHE117.A,2016-01-01,100.4216
WHO_SDG:SDG_SH_DTH_RNCOM.VUT.SEX_MLE.GHECAUSES_GHE117.A,2017-01-01,101.7792
WHO_SDG:SDG_SH_DTH_RNCOM.VUT.SEX_MLE.GHECAUSES_GHE117.A,2018-01-01,102.6873
WHO_SDG:SDG_SH_DTH_RNCOM.VUT.SEX_MLE.GHECAUSES_GHE117.A,2019-01-01,103.5066
