series_id,obs_date,value
WHO_SDG:SDG_SH_DTH_RNCOM.WB_HI.SEX_MLE.GHECAUSES_GHE110.A,2000-01-01,1671750.0
WHO_SDG:SDG_SH_DTH_RNCOM.WB_HI.SEX_MLE.GHECAUSES_GHE110.A,2001-01-01,1660759.0
WHO_SDG:SDG_SH_DTH_RNCOM.WB_HI.SEX_MLE.GHECAUSES_GHE110.A,2002-01-01,1668268.0
WHO_SDG:SDG_SH_DTH_RNCOM.WB_HI.SEX_MLE.GHECAUSES_GHE110.A,2003-01-01,1672122.0
WHO_SDG:SDG_SH_DTH_RNCOM.WB_HI.SEX_MLE.GHECAUSES_GHE110.A,2004-01-01,1602252.0
WHO_SDG:SDG_SH_DTH_RNCOM.WB_HI.SEX_MLE.GHECAUSES_GHE110.A,2005-01-01,1603561.0
WHO_SDG:SDG_SH_DTH_RNCOM.WB_HI.SEX_MLE.GHECAUSES_GHE110.A,2006-01-01,1572576.0
WHO_SDG:SDG_SH_DTH_RNCOM.WB_HI.SEX_MLE.GHECAUSES_GHE110.A,2007-01-01,1571994.0
WHO_SDG:SDG_SH_DTH_RNCOM.WB_HI.SEX_MLE.GHECAUSES_GHE110.A,2008-01-01,1568637.0
WHO_SDG:SDG_SH_DTH_RNCOM.WB_HI.SEX_MLE.GHECAUSES_GHE110.A,2009-01-01,1553178.0
WHO_SDG:SDG_SH_DTH_RNCOM.WB_HI.SEX_MLE.GHECAUSES_GHE110.A,2010-01-01,1549562.0
WHO_SDG:SDG_SH_DTH_RNCOM.WB_HI.SEX_MLE.GHECAUSES_GHE110.A,2011-01-01,1536187.0
WHO_SDG:SDG_SH_DTH_RNCOM.WB_HI.SEX_MLE.GHECAUSES_GHE110.A,2012-01-01,1563554.0
WHO_SDG:SDG_SH_DTH_RNCOM.WB_HI.SEX_MLE.GHECAUSES_GHE110.A,2013-01-01,1570199.0
WHO_SDG:SDG_SH_DTH_RNCOM.WB_HI.SEX_MLE.GHECAUSES_GHE110.A,2014-01-01,1555335.0
WHO_SDG:SDG_SH_DTH_RNCOM.WB_HI.SEX_MLE.GHECAUSES_GHE110.A,2015-01-01,1599447.0
WHO_SDG:SDG_SH_DTH_RNCOM.WB_HI.SEX_MLE.GHECAUSES_GHE110.A,2016-01-01,1590960.0
WHO_SDG:SDG_SH_DTH_RNCOM.WB_HI.SEX_MLE.GHECAUSES_GHE110.A,2017-01-01,1628045.0
WHO_SDG:SDG_SH_DTH_RNCOM.WB_HI.SEX_MLE.GHECAUSES_GHE110.A,2018-01-01,1632677.0
WHO_SDG:SDG_SH_DTH_RNCOM.WB_HI.SEX_MLE.GHECAUSES_GHE110.A,2019-01-01,1621785.0
