series_id,obs_date,value
WHO_SDG:SDG_SH_DTH_RNCOM.WB_UMI.SEX_MLE.GHECAUSES_GHE080.A,2000-01-01,197701.8
WHO_SDG:SDG_SH_DTH_RNCOM.WB_UMI.SEX_MLE.GHECAUSES_GHE080.A,2001-01-01,204408.6
WHO_SDG:SDG_SH_DTH_RNCOM.WB_UMI.SEX_MLE.GHECAUSES_GHE080.A,2002-01-01,215340.7
WHO_SDG:SDG_SH_DTH_RNCOM.WB_UMI.SEX_MLE.GHECAUSES_GHE080.A,2003-01-01,225709.1
WHO_SDG:SDG_SH_DTH_RNCOM.WB_UMI.SEX_MLE.GHECAUSES_GHE080.A,2004-01-01,235455.8
WHO_SDG:SDG_SH_DTH_RNCOM.WB_UMI.SEX_MLE.GHECAUSES_GHE080.A,2005-01-01,242824.0
WHO_SDG:SDG_SH_DTH_RNCOM.WB_UMI.SEX_MLE.GHECAUSES_GHE080.A,2006-01-01,246825.8
WHO_SDG:SDG_SH_DTH_RNCOM.WB_UMI.SEX_MLE.GHECAUSES_GHE080.A,2007-01-01,252297.6
WHO_SDG:SDG_SH_DTH_RNCOM.WB_UMI.SEX_MLE.GHECAUSES_GHE080.A,2008-01-01,262882.7
WHO_SDG:SDG_SH_DTH_RNCOM.WB_UMI.SEX_MLE.GHECAUSES_GHE080.A,2009-01-01,270786.5
WHO_SDG:SDG_SH_DTH_RNCOM.WB_UMI.SEX_MLE.GHECAUSES_GHE080.A,2010-01-01,282361.7
WHO_SDG:SDG_SH_DTH_RNCOM.WB_UMI.SEX_MLE.GHECAUSES_GHE080.A,2011-01-01,289812.1
WHO_SDG:SDG_SH_DTH_RNCOM.WB_UMI.SEX_MLE.GHECAUSES_GHE080.A,2012-01-01,299512.5
WHO_SDG:SDG_SH_DTH_RNCOM.WB_UMI.SEX_MLE.GHECAUSES_GHE080.A,2013-01-01,309799.8
WHO_SDG:SDG_SH_DTH_RNCOM.WB_UMI.SEX_MLE.GHECAUSES_GHE080.A,2014-01-01,323333.1
WHO_SDG:SDG_SH_DTH_RNCOM.WB_UMI.SEX_MLE.GHECAUSES_GHE080.A,2015-01-01,336519.9
WHO_SDG:SDG_SH_DTH_RNCOM.WB_UMI.SEX_MLE.GHECAUSES_GHE080.A,2016-01-01,353751.9
WHO_SDG:SDG_SH_DTH_RNCOM.WB_UMI.SEX_MLE.GHECAUSES_GHE080.A,2017-01-01,362384.5
WHO_SDG:SDG_SH_DTH_RNCOM.WB_UMI.SEX_MLE.GHECAUSES_GHE080.A,2018-01-01,370961.7
WHO_SDG:SDG_SH_DTH_RNCOM.WB_UMI.SEX_MLE.GHECAUSES_GHE080.A,2019-01-01,379949.9
