series_id,obs_date,value
WHO_SDG:SDG_SH_DTH_RNCOM.YEM.SEX_BTSX.GHECAUSES_GHE117.A,2000-01-01,4339.887
WHO_SDG:SDG_SH_DTH_RNCOM.YEM.SEX_BTSX.GHECAUSES_GHE117.A,2001-01-01,4413.852
WHO_SDG:SDG_SH_DTH_RNCOM.YEM.SEX_BTSX.GHECAUSES_GHE117.A,2002-01-01,4383.231
WHO_SDG:SDG_SH_DTH_RNCOM.YEM.SEX_BTSX.GHECAUSES_GHE117.A,2003-01-01,4332.005
WHO_SDG:SDG_SH_DTH_RNCOM.YEM.SEX_BTSX.GHECAUSES_GHE117.A,2004-01-01,4294.952
WHO_SDG:SDG_SH_DTH_RNCOM.YEM.SEX_BTSX.GHECAUSES_GHE117.A,2005-01-01,4263.607
WHO_SDG:SDG_SH_DTH_RNCOM.YEM.SEX_BTSX.GHECAUSES_GHE117.A,2006-01-01,4277.835
WHO_SDG:SDG_SH_DTH_RNCOM.YEM.SEX_BTSX.GHECAUSES_GHE117.A,2007-01-01,4331.97
WHO_SDG:SDG_SH_DTH_RNCOM.YEM.SEX_BTSX.GHECAUSES_GHE117.A,2008-01-01,4375.307
WHO_SDG:SDG_SH_DTH_RNCOM.YEM.SEX_BTSX.GHECAUSES_GHE117.A,2009-01-01,4371.776
WHO_SDG:SDG_SH_DTH_RNCOM.YEM.SEX_BTSX.GHECAUSES_GHE117.A,2010-01-01,4336.524
WHO_SDG:SDG_SH_DTH_RNCOM.YEM.SEX_BTSX.GHECAUSES_GHE117.A,2011-01-01,4415.405
WHO_SDG:SDG_SH_DTH_RNCOM.YEM.SEX_BTSX.GHECAUSES_GHE117.A,2012-01-01,4527.574
WHO_SDG:SDG_SH_DTH_RNCOM.YEM.SEX_BTSX.GHECAUSES_GHE117.A,2013-01-01,4620.619
WHO_SDG:SDG_SH_DTH_RNCOM.YEM.SEX_BTSX.GHECAUSES_GHE117.A,2014-01-01,4676.961
WHO_SDG:SDG_SH_DTH_RNCOM.YEM.SEX_BTSX.GHECAUSES_GHE117.A,2015-01-01,4751.346
WHO_SDG:SDG_SH_DTH_RNCOM.YEM.SEX_BTSX.GHECAUSES_GHE117.A,2016-01-01,4920.345
WHO_SDG:SDG_SH_DTH_RNCOM.YEM.SEX_BTSX.GHECAUSES_GHE117.A,2017-01-01,5093.24
WHO_SDG:SDG_SH_DTH_RNCOM.YEM.SEX_BTSX.GHECAUSES_GHE117.A,2018-01-01,5313.157
WHO_SDG:SDG_SH_DTH_RNCOM.YEM.SEX_BTSX.GHECAUSES_GHE117.A,2019-01-01,5499.614
