series_id,obs_date,value
WHO_SDG:SDG_SH_DTH_RNCOM.ZAF.SEX_MLE.GHECAUSES_GHE117.A,2000-01-01,13221.5
WHO_SDG:SDG_SH_DTH_RNCOM.ZAF.SEX_MLE.GHECAUSES_GHE117.A,2001-01-01,13397.76
WHO_SDG:SDG_SH_DTH_RNCOM.ZAF.SEX_MLE.GHECAUSES_GHE117.A,2002-01-01,13637.22
WHO_SDG:SDG_SH_DTH_RNCOM.ZAF.SEX_MLE.GHECAUSES_GHE117.A,2003-01-01,13781.61
WHO_SDG:SDG_SH_DTH_RNCOM.ZAF.SEX_MLE.GHECAUSES_GHE117.A,2004-01-01,13407.75
WHO_SDG:SDG_SH_DTH_RNCOM.ZAF.SEX_MLE.GHECAUSES_GHE117.A,2005-01-01,13256.02
WHO_SDG:SDG_SH_DTH_RNCOM.ZAF.SEX_MLE.GHECAUSES_GHE117.A,2006-01-01,13417.31
WHO_SDG:SDG_SH_DTH_RNCOM.ZAF.SEX_MLE.GHECAUSES_GHE117.A,2007-01-01,13383.93
WHO_SDG:SDG_SH_DTH_RNCOM.ZAF.SEX_MLE.GHECAUSES_GHE117.A,2008-01-01,13500.86
WHO_SDG:SDG_SH_DTH_RNCOM.ZAF.SEX_MLE.GHECAUSES_GHE117.A,2009-01-01,13345.1
WHO_SDG:SDG_SH_DTH_RNCOM.ZAF.SEX_MLE.GHECAUSES_GHE117.A,2010-01-01,12836.53
WHO_SDG:SDG_SH_DTH_RNCOM.ZAF.SEX_MLE.GHECAUSES_GHE117.A,2011-01-01,12261.98
WHO_SDG:SDG_SH_DTH_RNCOM.ZAF.SEX_MLE.GHECAUSES_GHE117.A,2012-01-01,12056.66
WHO_SDG:SDG_SH_DTH_RNCOM.ZAF.SEX_MLE.GHECAUSES_GHE117.A,2013-01-01,11933.42
WHO_SDG:SDG_SH_DTH_RNCOM.ZAF.SEX_MLE.GHECAUSES_GHE117.A,2014-01-01,11988.24
WHO_SDG:SDG_SH_DTH_RNCOM.ZAF.SEX_MLE.GHECAUSES_GHE117.A,2015-01-01,12102.8
WHO_SDG:SDG_SH_DTH_RNCOM.ZAF.SEX_MLE.GHECAUSES_GHE117.A,2016-01-01,12163.45
WHO_SDG:SDG_SH_DTH_RNCOM.ZAF.SEX_MLE.GHECAUSES_GHE117.A,2017-01-01,12349.73
WHO_SDG:SDG_SH_DTH_RNCOM.ZAF.SEX_MLE.GHECAUSES_GHE117.A,2018-01-01,11511.64
WHO_SDG:SDG_SH_DTH_RNCOM.ZAF.SEX_MLE.GHECAUSES_GHE117.A,2019-01-01,10966.42
