series_id,obs_date,value
WDI:BX.KLT.DINV.CD.WD:ABW,1986-12-31,0.0
WDI:BX.KLT.DINV.CD.WD:ABW,1987-12-31,1087875.7
WDI:BX.KLT.DINV.CD.WD:ABW,1988-12-31,12264016.6
WDI:BX.KLT.DINV.CD.WD:ABW,1989-12-31,1300000.0
WDI:BX.KLT.DINV.CD.WD:ABW,1990-12-31,130502793.296089
WDI:BX.KLT.DINV.CD.WD:ABW,1991-12-31,184748603.351955
WDI:BX.KLT.DINV.CD.WD:ABW,1992-12-31,-36983240.2234636
WDI:BX.KLT.DINV.CD.WD:ABW,1993-12-31,-17932960.8938547
WDI:BX.KLT.DINV.CD.WD:ABW,1994-12-31,-73184357.5418994
WDI:BX.KLT.DINV.CD.WD:ABW,1995-12-31,-5530726.25698322
WDI:BX.KLT.DINV.CD.WD:ABW,1996-12-31,85027932.9608938
WDI:BX.KLT.DINV.CD.WD:ABW,1997-12-31,197821229.050279
WDI:BX.KLT.DINV.CD.WD:ABW,1998-12-31,113463687.150837
WDI:BX.KLT.DINV.CD.WD:ABW,1999-12-31,467541899.44134
WDI:BX.KLT.DINV.CD.WD:ABW,2000-12-31,-127932960.893854
WDI:BX.KLT.DINV.CD.WD:ABW,2001-12-31,-266927374.301676
WDI:BX.KLT.DINV.CD.WD:ABW,2002-12-31,332513966.480446
WDI:BX.KLT.DINV.CD.WD:ABW,2003-12-31,159776536.312849
WDI:BX.KLT.DINV.CD.WD:ABW,2004-12-31,-105698324.022346
WDI:BX.KLT.DINV.CD.WD:ABW,2005-12-31,-207798005.868162
WDI:BX.KLT.DINV.CD.WD:ABW,2006-12-31,220316139.723839
WDI:BX.KLT.DINV.CD.WD:ABW,2007-12-31,-471005586.592178
WDI:BX.KLT.DINV.CD.WD:ABW,2008-12-31,18882681.5642458
WDI:BX.KLT.DINV.CD.WD:ABW,2009-12-31,-10614525.1396648
WDI:BX.KLT.DINV.CD.WD:ABW,2010-12-31,186759776.536312
WDI:BX.KLT.DINV.CD.WD:ABW,2011-12-31,488156424.581005
WDI:BX.KLT.DINV.CD.WD:ABW,2012-12-31,-314692737.430167
WDI:BX.KLT.DINV.CD.WD:ABW,2013-12-31,272088145.377014
WDI:BX.KLT.DINV.CD.WD:ABW,2014-12-31,208344037.245164
