series_id,obs_date,value
WDI:DC.DAC.LUXL.CD:AFE,1990-12-31,2740000.0039488063
WDI:DC.DAC.LUXL.CD:AFE,1991-12-31,4349999.917671083
WDI:DC.DAC.LUXL.CD:AFE,1992-12-31,5620000.006631009
WDI:DC.DAC.LUXL.CD:AFE,1993-12-31,5250000.1117587015
WDI:DC.DAC.LUXL.CD:AFE,1994-12-31,6749999.972060327
WDI:DC.DAC.LUXL.CD:AFE,1995-12-31,11199999.889358876
WDI:DC.DAC.LUXL.CD:AFE,1996-12-31,11350000.04991888
WDI:DC.DAC.LUXL.CD:AFE,1997-12-31,12399999.916553497
WDI:DC.DAC.LUXL.CD:AFE,1998-12-31,15440000.018104903
WDI:DC.DAC.LUXL.CD:AFE,1999-12-31,11259999.992325898
WDI:DC.DAC.LUXL.CD:AFE,2000-12-31,14839999.824762348
WDI:DC.DAC.LUXL.CD:AFE,2001-12-31,11069999.873638153
WDI:DC.DAC.LUXL.CD:AFE,2002-12-31,15959999.855607748
WDI:DC.DAC.LUXL.CD:AFE,2003-12-31,15809999.90552664
WDI:DC.DAC.LUXL.CD:AFE,2004-12-31,20939999.882131808
WDI:DC.DAC.LUXL.CD:AFE,2005-12-31,18019999.98278915
WDI:DC.DAC.LUXL.CD:AFE,2006-12-31,23349999.912083145
WDI:DC.DAC.LUXL.CD:AFE,2007-12-31,31050000.106915817
WDI:DC.DAC.LUXL.CD:AFE,2008-12-31,31339999.824762344
WDI:DC.DAC.LUXL.CD:AFE,2009-12-31,33819999.67992306
WDI:DC.DAC.LUXL.CD:AFE,2010-12-31,28930000.228807345
WDI:DC.DAC.LUXL.CD:AFE,2011-12-31,25289999.63030219
WDI:DC.DAC.LUXL.CD:AFE,2012-12-31,13350000.09089708
WDI:DC.DAC.LUXL.CD:AFE,2013-12-31,13850000.055506831
WDI:DC.DAC.LUXL.CD:AFE,2014-12-31,13009999.983012667
WDI:DC.DAC.LUXL.CD:AFE,2015-12-31,11940000.087022787
