series_id,obs_date,value
WDI:DT.NFL.UNCTAD.CD:EAP,2020-12-31,41774.9993503094
WDI:DT.NFL.UNCTAD.CD:EAP,2021-12-31,0.0
WDI:DT.NFL.UNCTAD.CD:EAP,2022-12-31,0.0
WDI:DT.NFL.UNCTAD.CD:EAP,2023-12-31,0.0
WDI:DT.NFL.UNCTAD.CD:EAR,2020-12-31,138448.04465770698
WDI:DT.NFL.UNCTAD.CD:EAS,2020-12-31,41774.9993503094
WDI:DT.NFL.UNCTAD.CD:EAS,2021-12-31,0.0
WDI:DT.NFL.UNCTAD.CD:EAS,2022-12-31,0.0
WDI:DT.NFL.UNCTAD.CD:EAS,2023-12-31,0.0
WDI:DT.NFL.UNCTAD.CD:ECA,2020-12-31,46190.0010704994
WDI:DT.NFL.UNCTAD.CD:ECA,2021-12-31,0.0
WDI:DT.NFL.UNCTAD.CD:ECA,2022-12-31,0.0
WDI:DT.NFL.UNCTAD.CD:ECA,2023-12-31,0.0
WDI:DT.NFL.UNCTAD.CD:ECS,2020-12-31,46190.0010704994
WDI:DT.NFL.UNCTAD.CD:ECS,2021-12-31,0.0
WDI:DT.NFL.UNCTAD.CD:ECS,2022-12-31,0.0
WDI:DT.NFL.UNCTAD.CD:ECS,2023-12-31,0.0
WDI:DT.NFL.UNCTAD.CD:FCS,2020-12-31,138448.04465770698
WDI:DT.NFL.UNCTAD.CD:HIC,2020-12-31,0.0
WDI:DT.NFL.UNCTAD.CD:HIC,2021-12-31,0.0
WDI:DT.NFL.UNCTAD.CD:HIC,2022-12-31,0.0
WDI:DT.NFL.UNCTAD.CD:HIC,2023-12-31,0.0
WDI:DT.NFL.UNCTAD.CD:IBD,2020-12-31,46189.5689368248
WDI:DT.NFL.UNCTAD.CD:IBT,2020-12-31,184637.61359453178
WDI:DT.NFL.UNCTAD.CD:IDA,2020-12-31,138448.04465770698
WDI:DT.NFL.UNCTAD.CD:IDB,2020-12-31,138448.04465770698
WDI:DT.NFL.UNCTAD.CD:KAZ,2020-12-31,46190.0010704994
WDI:DT.NFL.UNCTAD.CD:LAC,2020-12-31,261.00000832229904
WDI:DT.NFL.UNCTAD.CD:LAC,2021-12-31,0.0
WDI:DT.NFL.UNCTAD.CD:LAC,2022-12-31,0.0
WDI:DT.NFL.UNCTAD.CD:LAC,2023-12-31,0.0
WDI:DT.NFL.UNCTAD.CD:LCN,2020-12-31,261.00000832229904
WDI:DT.NFL.UNCTAD.CD:LCN,2021-12-31,0.0
WDI:DT.NFL.UNCTAD.CD:LCN,2022-12-31,0.0
WDI:DT.NFL.UNCTAD.CD:LCN,2023-12-31,0.0
WDI:DT.NFL.UNCTAD.CD:LIC,2020-12-31,0.0
WDI:DT.NFL.UNCTAD.CD:LIC,2021-12-31,0.0
WDI:DT.NFL.UNCTAD.CD:LIC,2022-12-31,0.0
WDI:DT.NFL.UNCTAD.CD:LIC,2023-12-31,0.0
WDI:DT.NFL.UNCTAD.CD:LMC,2020-12-31,138447.99995422398
WDI:DT.NFL.UNCTAD.CD:LMC,2021-12-31,0.0
WDI:DT.NFL.UNCTAD.CD:LMC,2022-12-31,0.0
WDI:DT.NFL.UNCTAD.CD:LMC,2023-12-31,0.0
WDI:DT.NFL.UNCTAD.CD:LMY,2020-12-31,2357100.96359253
WDI:DT.NFL.UNCTAD.CD:LMY,2021-12-31,1797520.9951400799
WDI:DT.NFL.UNCTAD.CD:LMY,2022-12-31,4505168.91479492
WDI:DT.NFL.UNCTAD.CD:LMY,2023-12-31,3368798.01750183
WDI:DT.NFL.UNCTAD.CD:LTE,2020-12-31,46189.5689368248
WDI:DT.NFL.UNCTAD.CD:MEA,2020-12-31,0.0
WDI:DT.NFL.UNCTAD.CD:MEA,2021-12-31,0.0
WDI:DT.NFL.UNCTAD.CD:MEA,2022-12-31,158923.000097275
WDI:DT.NFL.UNCTAD.CD:MEA,2023-12-31,154158.994555473
WDI:DT.NFL.UNCTAD.CD:MIC,2020-12-31,184637.99357414202
WDI:DT.NFL.UNCTAD.CD:MIC,2021-12-31,0.0
WDI:DT.NFL.UNCTAD.CD:MIC,2022-12-31,0.0
WDI:DT.NFL.UNCTAD.CD:MIC,2023-12-31,0.0
WDI:DT.NFL.UNCTAD.CD:MNA,2020-12-31,0.0
WDI:DT.NFL.UNCTAD.CD:MNA,2021-12-31,0.0
WDI:DT.NFL.UNCTAD.CD:MNA,2022-12-31,158923.000097275
WDI:DT.NFL.UNCTAD.CD:MNA,2023-12-31,154158.994555473
WDI:DT.NFL.UNCTAD.CD:NAC,2020-12-31,0.0
WDI:DT.NFL.UNCTAD.CD:NAC,2021-12-31,0.0
WDI:DT.NFL.UNCTAD.CD:NAC,2022-12-31,0.0
WDI:DT.NFL.UNCTAD.CD:NAC,2023-12-31,0.0
WDI:DT.NFL.UNCTAD.CD:SAS,2020-12-31,0.0
WDI:DT.NFL.UNCTAD.CD:SAS,2021-12-31,0.0
WDI:DT.NFL.UNCTAD.CD:SAS,2022-12-31,0.0
WDI:DT.NFL.UNCTAD.CD:SAS,2023-12-31,0.0
WDI:DT.NFL.UNCTAD.CD:SSA,2020-12-31,514483.98921638704
WDI:DT.NFL.UNCTAD.CD:SSA,2021-12-31,0.0
WDI:DT.NFL.UNCTAD.CD:SSA,2022-12-31,722415.968775749
WDI:DT.NFL.UNCTAD.CD:SSA,2023-12-31,347508.005797863
WDI:DT.NFL.UNCTAD.CD:SSF,2020-12-31,514483.98921638704
WDI:DT.NFL.UNCTAD.CD:SSF,2021-12-31,0.0
WDI:DT.NFL.UNCTAD.CD:SSF,2022-12-31,722415.968775749
WDI:DT.NFL.UNCTAD.CD:SSF,2023-12-31,347508.005797863
WDI:DT.NFL.UNCTAD.CD:TEC,2020-12-31,46189.5689368248
WDI:DT.NFL.UNCTAD.CD:TSS,2020-12-31,138448.04465770698
WDI:DT.NFL.UNCTAD.CD:UMC,2020-12-31,46190.0010704994
WDI:DT.NFL.UNCTAD.CD:UMC,2021-12-31,0.0
WDI:DT.NFL.UNCTAD.CD:UMC,2022-12-31,0.0
WDI:DT.NFL.UNCTAD.CD:UMC,2023-12-31,0.0
WDI:DT.NFL.UNCTAD.CD:WLD,2020-12-31,2357100.96359253
WDI:DT.NFL.UNCTAD.CD:WLD,2021-12-31,1797520.9951400799
WDI:DT.NFL.UNCTAD.CD:WLD,2022-12-31,4505168.91479492
WDI:DT.NFL.UNCTAD.CD:WLD,2023-12-31,3368798.01750183
WDI:DT.NFL.UNCTAD.CD:ZWE,2020-12-31,138447.99995422398
