series_id,obs_date,value
WDI:EN.GHG.CH4.BU.MT.CE.AR5:ABW,1970-12-31,0.0001
WDI:EN.GHG.CH4.BU.MT.CE.AR5:ABW,1971-12-31,0.0001
WDI:EN.GHG.CH4.BU.MT.CE.AR5:ABW,1972-12-31,0.0001
WDI:EN.GHG.CH4.BU.MT.CE.AR5:ABW,1973-12-31,0.0001
WDI:EN.GHG.CH4.BU.MT.CE.AR5:ABW,1974-12-31,0.0001
WDI:EN.GHG.CH4.BU.MT.CE.AR5:ABW,1975-12-31,0.0001
WDI:EN.GHG.CH4.BU.MT.CE.AR5:ABW,1976-12-31,0.0001
WDI:EN.GHG.CH4.BU.MT.CE.AR5:ABW,1977-12-31,0.0001
WDI:EN.GHG.CH4.BU.MT.CE.AR5:ABW,1978-12-31,0.0001
WDI:EN.GHG.CH4.BU.MT.CE.AR5:ABW,1979-12-31,0.0001
WDI:EN.GHG.CH4.BU.MT.CE.AR5:ABW,1980-12-31,0.0001
WDI:EN.GHG.CH4.BU.MT.CE.AR5:ABW,1981-12-31,0.0001
WDI:EN.GHG.CH4.BU.MT.CE.AR5:ABW,1982-12-31,0.0001
WDI:EN.GHG.CH4.BU.MT.CE.AR5:ABW,1983-12-31,0.0001
WDI:EN.GHG.CH4.BU.MT.CE.AR5:ABW,1984-12-31,0.0001
WDI:EN.GHG.CH4.BU.MT.CE.AR5:ABW,1985-12-31,0.0001
WDI:EN.GHG.CH4.BU.MT.CE.AR5:ABW,1986-12-31,0.0002
WDI:EN.GHG.CH4.BU.MT.CE.AR5:ABW,1987-12-31,0.0002
WDI:EN.GHG.CH4.BU.MT.CE.AR5:ABW,1988-12-31,0.0002
WDI:EN.GHG.CH4.BU.MT.CE.AR5:ABW,1989-12-31,0.0002
WDI:EN.GHG.CH4.BU.MT.CE.AR5:ABW,1990-12-31,0.0002
WDI:EN.GHG.CH4.BU.MT.CE.AR5:ABW,1991-12-31,0.0002
WDI:EN.GHG.CH4.BU.MT.CE.AR5:ABW,1992-12-31,0.0002
WDI:EN.GHG.CH4.BU.MT.CE.AR5:ABW,1993-12-31,0.0002
WDI:EN.GHG.CH4.BU.MT.CE.AR5:ABW,1994-12-31,0.0002
WDI:EN.GHG.CH4.BU.MT.CE.AR5:ABW,1995-12-31,0.0002
