series_id,obs_date,value
WDI:IP.IDS.RSCT:ALB,2010-12-31,21.0
WDI:IP.IDS.RSCT:ALB,2011-12-31,16.0
WDI:IP.IDS.RSCT:ALB,2013-12-31,35.0
WDI:IP.IDS.RSCT:ALB,2014-12-31,16.0
WDI:IP.IDS.RSCT:ALB,2020-12-31,38.0
WDI:IP.IDS.RSCT:ALB,2021-12-31,57.0
WDI:IP.IDS.RSCT:ARE,2010-12-31,27.0
WDI:IP.IDS.RSCT:ARE,2011-12-31,55.0
WDI:IP.IDS.RSCT:ARE,2012-12-31,45.0
WDI:IP.IDS.RSCT:ARE,2013-12-31,76.0
WDI:IP.IDS.RSCT:ARE,2014-12-31,107.0
WDI:IP.IDS.RSCT:ARE,2015-12-31,65.0
WDI:IP.IDS.RSCT:ARE,2016-12-31,79.0
WDI:IP.IDS.RSCT:ARE,2017-12-31,110.0
WDI:IP.IDS.RSCT:ARE,2018-12-31,54.0
WDI:IP.IDS.RSCT:ARE,2019-12-31,66.0
WDI:IP.IDS.RSCT:ARE,2020-12-31,52.0
WDI:IP.IDS.RSCT:ARE,2021-12-31,103.0
WDI:IP.IDS.RSCT:ARG,1980-12-31,1534.0
WDI:IP.IDS.RSCT:ARG,1981-12-31,1224.0
WDI:IP.IDS.RSCT:ARG,1982-12-31,1383.0
WDI:IP.IDS.RSCT:ARG,1983-12-31,1471.0
WDI:IP.IDS.RSCT:ARG,1984-12-31,1752.0
WDI:IP.IDS.RSCT:ARG,1986-12-31,1949.0
WDI:IP.IDS.RSCT:ARG,1988-12-31,1362.0
WDI:IP.IDS.RSCT:ARG,1993-12-31,941.0
WDI:IP.IDS.RSCT:ARG,1994-12-31,893.0
WDI:IP.IDS.RSCT:ARG,1995-12-31,748.0
WDI:IP.IDS.RSCT:ARG,1996-12-31,850.0
WDI:IP.IDS.RSCT:ARG,1997-12-31,666.0
WDI:IP.IDS.RSCT:ARG,1998-12-31,733.0
WDI:IP.IDS.RSCT:ARG,1999-12-31,620.0
WDI:IP.IDS.RSCT:ARG,2000-12-31,758.0
WDI:IP.IDS.RSCT:ARG,2001-12-31,592.0
WDI:IP.IDS.RSCT:ARG,2002-12-31,495.0
WDI:IP.IDS.RSCT:ARG,2005-12-31,1043.0
WDI:IP.IDS.RSCT:ARG,2006-12-31,952.0
WDI:IP.IDS.RSCT:ARG,2007-12-31,679.0
WDI:IP.IDS.RSCT:ARG,2008-12-31,799.0
WDI:IP.IDS.RSCT:ARG,2009-12-31,902.0
WDI:IP.IDS.RSCT:ARG,2010-12-31,1017.0
WDI:IP.IDS.RSCT:ARG,2011-12-31,701.0
WDI:IP.IDS.RSCT:ARG,2012-12-31,737.0
WDI:IP.IDS.RSCT:ARG,2013-12-31,703.0
WDI:IP.IDS.RSCT:ARG,2014-12-31,798.0
WDI:IP.IDS.RSCT:ARG,2015-12-31,1016.0
WDI:IP.IDS.RSCT:ARG,2016-12-31,1115.0
WDI:IP.IDS.RSCT:ARG,2017-12-31,972.0
WDI:IP.IDS.RSCT:ARG,2018-12-31,932.0
WDI:IP.IDS.RSCT:ARG,2019-12-31,1052.0
WDI:IP.IDS.RSCT:ARG,2020-12-31,1238.0
WDI:IP.IDS.RSCT:ARG,2021-12-31,1479.0
WDI:IP.IDS.RSCT:ARM,2004-12-31,30.0
WDI:IP.IDS.RSCT:ARM,2005-12-31,10.0
WDI:IP.IDS.RSCT:ARM,2006-12-31,17.0
WDI:IP.IDS.RSCT:ARM,2008-12-31,9.0
WDI:IP.IDS.RSCT:ARM,2009-12-31,22.0
WDI:IP.IDS.RSCT:ARM,2010-12-31,25.0
WDI:IP.IDS.RSCT:ARM,2011-12-31,27.0
WDI:IP.IDS.RSCT:ARM,2012-12-31,45.0
WDI:IP.IDS.RSCT:ARM,2013-12-31,33.0
WDI:IP.IDS.RSCT:ARM,2014-12-31,31.0
WDI:IP.IDS.RSCT:ARM,2015-12-31,31.0
WDI:IP.IDS.RSCT:ARM,2016-12-31,23.0
WDI:IP.IDS.RSCT:ARM,2017-12-31,54.0
WDI:IP.IDS.RSCT:ARM,2018-12-31,61.0
WDI:IP.IDS.RSCT:ARM,2019-12-31,39.0
WDI:IP.IDS.RSCT:ARM,2020-12-31,30.0
WDI:IP.IDS.RSCT:ARM,2021-12-31,78.0
WDI:IP.IDS.RSCT:ATG,2012-12-31,1.0
WDI:IP.IDS.RSCT:ATG,2020-12-31,1.0
WDI:IP.IDS.RSCT:ATG,2021-12-31,1.0
WDI:IP.IDS.RSCT:AUS,2004-12-31,3318.0
WDI:IP.IDS.RSCT:AUS,2005-12-31,3303.0
WDI:IP.IDS.RSCT:AUS,2006-12-31,3531.0
WDI:IP.IDS.RSCT:AUS,2007-12-31,2750.0
WDI:IP.IDS.RSCT:AUS,2008-12-31,2727.0
WDI:IP.IDS.RSCT:AUS,2009-12-31,2549.0
WDI:IP.IDS.RSCT:AUS,2010-12-31,2828.0
WDI:IP.IDS.RSCT:AUS,2011-12-31,2664.0
WDI:IP.IDS.RSCT:AUS,2012-12-31,2714.0
WDI:IP.IDS.RSCT:AUS,2013-12-31,2994.0
WDI:IP.IDS.RSCT:AUS,2014-12-31,2630.0
WDI:IP.IDS.RSCT:AUS,2015-12-31,2821.0
WDI:IP.IDS.RSCT:AUS,2016-12-31,2739.0
WDI:IP.IDS.RSCT:AUS,2017-12-31,2854.0
WDI:IP.IDS.RSCT:AUS,2018-12-31,3095.0
WDI:IP.IDS.RSCT:AUS,2019-12-31,3147.0
WDI:IP.IDS.RSCT:AUS,2020-12-31,2664.0
WDI:IP.IDS.RSCT:AUS,2021-12-31,2584.0
WDI:IP.IDS.RSCT:AUT,1980-12-31,4260.0
WDI:IP.IDS.RSCT:AUT,1981-12-31,3072.0
WDI:IP.IDS.RSCT:AUT,1982-12-31,3301.0
WDI:IP.IDS.RSCT:AUT,1983-12-31,3162.0
WDI:IP.IDS.RSCT:AUT,1984-12-31,3354.0
WDI:IP.IDS.RSCT:AUT,1985-12-31,4185.0
WDI:IP.IDS.RSCT:AUT,1986-12-31,3289.0
WDI:IP.IDS.RSCT:AUT,1987-12-31,3305.0
WDI:IP.IDS.RSCT:AUT,1988-12-31,3673.0
WDI:IP.IDS.RSCT:AUT,1989-12-31,4346.0
WDI:IP.IDS.RSCT:AUT,1990-12-31,4366.0
WDI:IP.IDS.RSCT:AUT,1991-12-31,1711.0
WDI:IP.IDS.RSCT:AUT,1992-12-31,1923.0
WDI:IP.IDS.RSCT:AUT,1993-12-31,1625.0
WDI:IP.IDS.RSCT:AUT,1994-12-31,1799.0
WDI:IP.IDS.RSCT:AUT,1995-12-31,1674.0
WDI:IP.IDS.RSCT:AUT,1996-12-31,2112.0
WDI:IP.IDS.RSCT:AUT,1997-12-31,2105.0
WDI:IP.IDS.RSCT:AUT,1998-12-31,2695.0
WDI:IP.IDS.RSCT:AUT,1999-12-31,2176.0
WDI:IP.IDS.RSCT:AUT,2000-12-31,2126.0
WDI:IP.IDS.RSCT:AUT,2001-12-31,2310.0
WDI:IP.IDS.RSCT:AUT,2002-12-31,2025.0
WDI:IP.IDS.RSCT:AUT,2003-12-31,1590.0
WDI:IP.IDS.RSCT:AUT,2004-12-31,1369.0
WDI:IP.IDS.RSCT:AUT,2005-12-31,1048.0
WDI:IP.IDS.RSCT:AUT,2006-12-31,1172.0
WDI:IP.IDS.RSCT:AUT,2007-12-31,736.0
WDI:IP.IDS.RSCT:AUT,2008-12-31,840.0
WDI:IP.IDS.RSCT:AUT,2009-12-31,647.0
WDI:IP.IDS.RSCT:AUT,2010-12-31,681.0
WDI:IP.IDS.RSCT:AUT,2011-12-31,495.0
WDI:IP.IDS.RSCT:AUT,2012-12-31,526.0
WDI:IP.IDS.RSCT:AUT,2013-12-31,451.0
WDI:IP.IDS.RSCT:AUT,2014-12-31,491.0
WDI:IP.IDS.RSCT:AUT,2015-12-31,288.0
WDI:IP.IDS.RSCT:AUT,2016-12-31,299.0
WDI:IP.IDS.RSCT:AUT,2017-12-31,405.0
WDI:IP.IDS.RSCT:AUT,2018-12-31,304.0
WDI:IP.IDS.RSCT:AUT,2019-12-31,396.0
WDI:IP.IDS.RSCT:AUT,2020-12-31,318.0
WDI:IP.IDS.RSCT:AUT,2021-12-31,232.0
WDI:IP.IDS.RSCT:AZE,2001-12-31,13.0
WDI:IP.IDS.RSCT:AZE,2002-12-31,4.0
WDI:IP.IDS.RSCT:AZE,2003-12-31,9.0
WDI:IP.IDS.RSCT:AZE,2004-12-31,12.0
WDI:IP.IDS.RSCT:AZE,2005-12-31,17.0
WDI:IP.IDS.RSCT:AZE,2006-12-31,22.0
WDI:IP.IDS.RSCT:AZE,2007-12-31,12.0
WDI:IP.IDS.RSCT:AZE,2008-12-31,31.0
WDI:IP.IDS.RSCT:AZE,2009-12-31,22.0
WDI:IP.IDS.RSCT:AZE,2010-12-31,27.0
WDI:IP.IDS.RSCT:AZE,2011-12-31,27.0
WDI:IP.IDS.RSCT:AZE,2012-12-31,23.0
WDI:IP.IDS.RSCT:AZE,2013-12-31,54.0
WDI:IP.IDS.RSCT:AZE,2015-12-31,11.0
WDI:IP.IDS.RSCT:AZE,2016-12-31,22.0
WDI:IP.IDS.RSCT:AZE,2017-12-31,114.0
WDI:IP.IDS.RSCT:AZE,2018-12-31,54.0
WDI:IP.IDS.RSCT:AZE,2019-12-31,139.0
WDI:IP.IDS.RSCT:AZE,2020-12-31,32.0
WDI:IP.IDS.RSCT:AZE,2021-12-31,63.0
WDI:IP.IDS.RSCT:BDI,2017-12-31,2.0
WDI:IP.IDS.RSCT:BFA,2000-12-31,5.0
WDI:IP.IDS.RSCT:BFA,2001-12-31,15.0
WDI:IP.IDS.RSCT:BFA,2002-12-31,18.0
WDI:IP.IDS.RSCT:BFA,2003-12-31,13.0
WDI:IP.IDS.RSCT:BFA,2004-12-31,9.0
WDI:IP.IDS.RSCT:BFA,2005-12-31,9.0
WDI:IP.IDS.RSCT:BFA,2010-12-31,4.0
WDI:IP.IDS.RSCT:BGD,1980-12-31,91.0
WDI:IP.IDS.RSCT:BGD,1981-12-31,81.0
WDI:IP.IDS.RSCT:BGD,1982-12-31,66.0
WDI:IP.IDS.RSCT:BGD,1983-12-31,59.0
WDI:IP.IDS.RSCT:BGD,1984-12-31,154.0
WDI:IP.IDS.RSCT:BGD,1985-12-31,147.0
WDI:IP.IDS.RSCT:BGD,1986-12-31,175.0
WDI:IP.IDS.RSCT:BGD,1987-12-31,166.0
WDI:IP.IDS.RSCT:BGD,1988-12-31,176.0
WDI:IP.IDS.RSCT:BGD,1989-12-31,232.0
WDI:IP.IDS.RSCT:BGD,1990-12-31,189.0
WDI:IP.IDS.RSCT:BGD,1991-12-31,211.0
WDI:IP.IDS.RSCT:BGD,1992-12-31,273.0
WDI:IP.IDS.RSCT:BGD,1993-12-31,328.0
WDI:IP.IDS.RSCT:BGD,1994-12-31,337.0
WDI:IP.IDS.RSCT:BGD,1995-12-31,287.0
WDI:IP.IDS.RSCT:BGD,1996-12-31,396.0
WDI:IP.IDS.RSCT:BGD,1997-12-31,609.0
WDI:IP.IDS.RSCT:BGD,1998-12-31,649.0
WDI:IP.IDS.RSCT:BGD,1999-12-31,815.0
WDI:IP.IDS.RSCT:BGD,2000-12-31,693.0
WDI:IP.IDS.RSCT:BGD,2001-12-31,1046.0
WDI:IP.IDS.RSCT:BGD,2002-12-31,1020.0
WDI:IP.IDS.RSCT:BGD,2003-12-31,680.0
WDI:IP.IDS.RSCT:BGD,2004-12-31,739.0
WDI:IP.IDS.RSCT:BGD,2005-12-31,900.0
WDI:IP.IDS.RSCT:BGD,2006-12-31,1040.0
WDI:IP.IDS.RSCT:BGD,2007-12-31,748.0
WDI:IP.IDS.RSCT:BGD,2008-12-31,473.0
WDI:IP.IDS.RSCT:BGD,2009-12-31,954.0
WDI:IP.IDS.RSCT:BGD,2010-12-31,853.0
WDI:IP.IDS.RSCT:BGD,2011-12-31,1155.0
