series_id,obs_date,value
WDI:NE.DAB.TOTL.CN:ABW,1995-12-31,2401000000.0
WDI:NE.DAB.TOTL.CN:ABW,1996-12-31,2521000000.0
WDI:NE.DAB.TOTL.CN:ABW,1997-12-31,2843000000.0
WDI:NE.DAB.TOTL.CN:ABW,1998-12-31,3100000000.0
WDI:NE.DAB.TOTL.CN:ABW,1999-12-31,3228000000.0
WDI:NE.DAB.TOTL.CN:ABW,2000-12-31,3229430000.0
WDI:NE.DAB.TOTL.CN:ABW,2001-12-31,3340260000.0
WDI:NE.DAB.TOTL.CN:ABW,2002-12-31,3655755000.0
WDI:NE.DAB.TOTL.CN:ABW,2003-12-31,3927230000.0
WDI:NE.DAB.TOTL.CN:ABW,2004-12-31,4161260000.0
WDI:NE.DAB.TOTL.CN:ABW,2005-12-31,4600392000.0
WDI:NE.DAB.TOTL.CN:ABW,2006-12-31,4944980000.0
WDI:NE.DAB.TOTL.CN:ABW,2007-12-31,5265076000.0
WDI:NE.DAB.TOTL.CN:ABW,2008-12-31,5498759000.0
WDI:NE.DAB.TOTL.CN:ABW,2009-12-31,5107020000.0
WDI:NE.DAB.TOTL.CN:ABW,2010-12-31,5051975000.0
WDI:NE.DAB.TOTL.CN:ABW,2011-12-31,5427003000.0
WDI:NE.DAB.TOTL.CN:ABW,2012-12-31,5169852000.0
WDI:NE.DAB.TOTL.CN:ABW,2013-12-31,5301752000.0
WDI:NE.DAB.TOTL.CN:ABW,2014-12-31,5274466000.0
WDI:NE.DAB.TOTL.CN:ABW,2015-12-31,5295621000.0
WDI:NE.DAB.TOTL.CN:ABW,2016-12-31,5284843000.0
WDI:NE.DAB.TOTL.CN:ABW,2017-12-31,5504603000.0
WDI:NE.DAB.TOTL.CN:ABW,2018-12-31,5982087000.0
WDI:NE.DAB.TOTL.CN:ABW,2019-12-31,6261125811.27447
WDI:NE.DAB.TOTL.CN:ABW,2020-12-31,5112625672.88625
WDI:NE.DAB.TOTL.CN:ABW,2021-12-31,5408364878.87859
WDI:NE.DAB.TOTL.CN:ABW,2022-12-31,5891758111.754311
WDI:NE.DAB.TOTL.CN:ABW,2023-12-31,6304075200.0
WDI:NE.DAB.TOTL.CN:ABW,2024-12-31,6921845953.83966
